Pais,Actas_Totales,Con_Anomalias,Porcentaje_Anomalias
ALEMANIA,12,12,100.0%
ARGENTINA,87,87,100.0%
BOLIVIA,45,45,100.0%
BRASIL,102,102,100.0%
CANADÁ,24,24,100.0%
CHILE,44,44,100.0%
CHINA,189,189,100.0%
COSTA RICA,76,76,100.0%
CUBA,113,113,100.0%
ECUADOR,18,18,100.0%
ESPAÑA,60,60,100.0%
ESTADOS UNIDOS,36,36,100.0%
FRANCIA,27,27,100.0%
ITALIA,44,44,100.0%
JAPÓN,38,38,100.0%
MÉXICO,79,79,100.0%
PANAMÁ,47,47,100.0%
PARAGUAY,8,8,100.0%
PERÚ,25,25,100.0%
SUIZA,15,15,100.0%
URUGUAY,35,35,100.0%
VENEZUELA,38,38,100.0%
OTROS CONSULADOS / VOTO EXTERIOR,1203,1203,100.0%
TOTAL CONSOLIDADO,2365,2365,100.0%
