Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
05,110,00,00,000016,73,73,147,Empate Exacto (Estadísticamente Inviable)
05,113,00,00,000004,104,104,209,Empate Exacto (Estadísticamente Inviable)
05,113,00,00,000007,97,97,196,Empate Exacto (Estadísticamente Inviable)
05,113,00,00,000021,53,53,108,Empate Exacto (Estadísticamente Inviable)
05,001,20,02,000027,157,22,181,Clonada (Idéntica a mesa anterior)
05,001,21,02,000010,112,112,224,Empate Exacto (Estadísticamente Inviable)
05,001,99,70,000020,194,4,201,Polarización Extrema (>95%)
05,013,00,00,000001,70,70,144,Empate Exacto (Estadísticamente Inviable)
05,013,00,00,000028,95,95,193,Empate Exacto (Estadísticamente Inviable)
05,013,00,00,000029,97,97,195,Empate Exacto (Estadísticamente Inviable)
05,016,00,00,000011,73,73,147,Empate Exacto (Estadísticamente Inviable)
05,022,01,01,000002,82,82,164,Empate Exacto (Estadísticamente Inviable)
05,022,02,01,000023,89,89,181,Empate Exacto (Estadísticamente Inviable)
05,022,99,15,000003,28,28,57,Empate Exacto (Estadísticamente Inviable)
05,025,00,00,000012,86,86,179,Empate Exacto (Estadísticamente Inviable)
05,028,99,19,000001,104,104,210,Empate Exacto (Estadísticamente Inviable)
05,031,00,02,000002,67,67,136,Empate Exacto (Estadísticamente Inviable)
05,031,00,02,000005,64,69,134,Clonada (Idéntica a mesa anterior)
05,059,00,00,000011,52,52,104,Empate Exacto (Estadísticamente Inviable)
05,072,00,00,000019,29,29,60,Empate Exacto (Estadísticamente Inviable)
05,121,99,01,000002,109,109,219,Empate Exacto (Estadísticamente Inviable)
05,124,00,00,000004,121,121,248,Empate Exacto (Estadísticamente Inviable)
05,016,99,09,000005,63,63,127,Empate Exacto (Estadísticamente Inviable)
05,037,99,10,000001,4,128,132,Polarización Extrema (>95%)
05,007,99,05,000003,185,28,213,Clonada (Idéntica a mesa anterior)
05,010,99,40,000002,169,0,169,Polarización Extrema (>95%)
05,028,99,54,000002,27,27,56,Empate Exacto (Estadísticamente Inviable)
05,001,02,02,000010,56,56,117,Empate Exacto (Estadísticamente Inviable)
05,001,03,01,000006,103,103,206,Empate Exacto (Estadísticamente Inviable)
05,001,06,02,000009,115,115,232,Empate Exacto (Estadísticamente Inviable)
05,001,06,02,000013,104,104,211,Empate Exacto (Estadísticamente Inviable)
05,001,06,06,000003,143,143,290,Empate Exacto (Estadísticamente Inviable)
05,001,08,01,000021,49,49,100,Empate Exacto (Estadísticamente Inviable)
05,001,09,01,000002,35,35,71,Empate Exacto (Estadísticamente Inviable)
05,001,09,01,000019,45,45,94,Empate Exacto (Estadísticamente Inviable)
05,001,09,02,000007,45,45,91,Empate Exacto (Estadísticamente Inviable)
05,001,10,02,000003,125,125,256,Empate Exacto (Estadísticamente Inviable)
