Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
07,001,02,05,000009,151,133,298,Clonada (Idéntica a mesa anterior)
07,008,99,32,000001,9,270,283,Polarización Extrema (>95%)
07,059,99,30,000001,178,2,184,Polarización Extrema (>95%)
07,059,99,30,000002,91,0,91,Polarización Extrema (>95%)
07,059,99,30,000003,83,2,85,Polarización Extrema (>95%)
07,067,02,02,000014,111,111,227,Empate Exacto (Estadísticamente Inviable)
07,067,02,05,000007,109,109,227,Empate Exacto (Estadísticamente Inviable)
07,079,02,01,000013,122,122,250,Empate Exacto (Estadísticamente Inviable)
07,079,90,01,000014,83,83,168,Empate Exacto (Estadísticamente Inviable)
07,088,00,00,000010,103,103,209,Empate Exacto (Estadísticamente Inviable)
07,139,00,00,000028,118,118,242,Empate Exacto (Estadísticamente Inviable)
07,181,01,01,000012,147,147,307,Empate Exacto (Estadísticamente Inviable)
07,181,02,02,000013,120,120,249,Empate Exacto (Estadísticamente Inviable)
07,214,02,01,000021,104,104,222,Empate Exacto (Estadísticamente Inviable)
07,241,99,21,000002,3,78,82,Polarización Extrema (>95%)
07,249,99,15,000001,12,265,277,Polarización Extrema (>95%)
07,277,01,05,000003,144,144,298,Empate Exacto (Estadísticamente Inviable)
07,277,02,05,000021,119,119,244,Empate Exacto (Estadísticamente Inviable)
07,067,01,03,000011,96,141,240,Clonada (Idéntica a mesa anterior)
07,280,00,00,000007,102,102,209,Empate Exacto (Estadísticamente Inviable)
07,112,99,03,000001,93,0,94,Polarización Extrema (>95%)
07,148,99,01,000001,8,199,207,Polarización Extrema (>95%)
07,241,99,18,000001,3,118,121,Polarización Extrema (>95%)
07,286,99,13,000001,1,61,62,Polarización Extrema (>95%)
