Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
15,031,01,02,000005,111,111,232,Empate Exacto (Estadísticamente Inviable)
15,031,02,07,000021,142,142,303,Empate Exacto (Estadísticamente Inviable)
15,055,02,03,000015,106,106,221,Empate Exacto (Estadísticamente Inviable)
15,055,02,09,000011,110,110,225,Empate Exacto (Estadísticamente Inviable)
15,076,02,02,000008,140,140,286,Empate Exacto (Estadísticamente Inviable)
15,076,02,05,000004,126,126,274,Empate Exacto (Estadísticamente Inviable)
15,061,99,02,000001,9,225,235,Polarización Extrema (>95%)
15,169,01,07,000001,73,73,150,Empate Exacto (Estadísticamente Inviable)
15,202,00,01,000013,116,116,241,Empate Exacto (Estadísticamente Inviable)
15,247,02,01,000001,124,124,255,Empate Exacto (Estadísticamente Inviable)
15,247,03,10,000022,237,71,315,Clonada (Idéntica a mesa anterior)
15,280,00,02,000012,124,124,261,Empate Exacto (Estadísticamente Inviable)
15,289,00,02,000018,34,34,71,Empate Exacto (Estadísticamente Inviable)
15,292,01,01,000002,134,134,271,Empate Exacto (Estadísticamente Inviable)
15,292,01,01,000017,143,143,297,Empate Exacto (Estadísticamente Inviable)
15,304,01,04,000013,67,67,144,Empate Exacto (Estadísticamente Inviable)
15,304,02,02,000015,109,109,231,Empate Exacto (Estadísticamente Inviable)
15,334,99,21,000001,5,205,211,Polarización Extrema (>95%)
15,334,99,25,000001,4,90,94,Polarización Extrema (>95%)
15,034,99,02,000001,5,147,152,Polarización Extrema (>95%)
15,196,00,00,000011,97,97,201,Empate Exacto (Estadísticamente Inviable)
15,247,03,02,000004,121,121,245,Empate Exacto (Estadísticamente Inviable)
15,298,99,02,000001,4,114,118,Polarización Extrema (>95%)
15,229,99,09,000001,25,25,50,Empate Exacto (Estadísticamente Inviable)
15,334,99,09,000001,4,223,230,Polarización Extrema (>95%)
15,094,02,12,000007,77,77,156,Empate Exacto (Estadísticamente Inviable)
15,109,02,03,000003,142,142,289,Empate Exacto (Estadísticamente Inviable)
15,109,03,05,000011,113,113,235,Empate Exacto (Estadísticamente Inviable)
15,109,02,08,000003,134,134,277,Empate Exacto (Estadísticamente Inviable)
15,109,03,09,000006,94,94,194,Empate Exacto (Estadísticamente Inviable)
