Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
16,001,10,11,000016,134,134,281,Empate Exacto (Estadísticamente Inviable)
16,001,10,21,000013,96,183,288,Clonada (Idéntica a mesa anterior)
16,001,08,43,000005,128,128,262,Empate Exacto (Estadísticamente Inviable)
16,001,08,63,000008,140,140,282,Empate Exacto (Estadísticamente Inviable)
16,001,08,78,000004,139,139,281,Empate Exacto (Estadísticamente Inviable)
16,001,09,06,000007,134,134,275,Empate Exacto (Estadísticamente Inviable)
16,001,09,27,000026,130,130,268,Empate Exacto (Estadísticamente Inviable)
16,001,09,34,000038,136,136,281,Empate Exacto (Estadísticamente Inviable)
16,001,09,38,000004,151,151,314,Empate Exacto (Estadísticamente Inviable)
16,001,11,25,000005,132,132,268,Empate Exacto (Estadísticamente Inviable)
16,001,11,54,000005,148,148,304,Empate Exacto (Estadísticamente Inviable)
16,001,13,04,000020,116,116,242,Empate Exacto (Estadísticamente Inviable)
16,001,14,01,000007,97,97,201,Empate Exacto (Estadísticamente Inviable)
16,001,15,06,000010,128,128,264,Empate Exacto (Estadísticamente Inviable)
16,001,15,14,000013,164,98,270,Clonada (Idéntica a mesa anterior)
16,001,90,01,000038,5,5,11,Clonada (Idéntica a mesa anterior)
16,001,90,01,000101,158,158,322,Empate Exacto (Estadísticamente Inviable)
16,001,90,01,000143,136,136,281,Empate Exacto (Estadísticamente Inviable)
16,001,10,68,000013,145,145,301,Empate Exacto (Estadísticamente Inviable)
16,001,11,08,000032,109,109,230,Empate Exacto (Estadísticamente Inviable)
16,001,11,61,000011,138,138,289,Empate Exacto (Estadísticamente Inviable)
16,001,14,02,000004,111,111,232,Empate Exacto (Estadísticamente Inviable)
16,001,20,04,000001,251,4,256,Polarización Extrema (>95%)
16,001,20,04,000002,100,1,102,Polarización Extrema (>95%)
16,001,13,39,000002,154,154,321,Empate Exacto (Estadísticamente Inviable)
16,001,13,39,000003,86,86,175,Empate Exacto (Estadísticamente Inviable)
16,001,20,01,000001,242,3,247,Polarización Extrema (>95%)
16,001,20,01,000002,218,1,220,Polarización Extrema (>95%)
16,001,20,01,000003,155,5,161,Polarización Extrema (>95%)
16,001,18,02,000006,129,129,268,Empate Exacto (Estadísticamente Inviable)
16,001,18,11,000005,126,126,263,Empate Exacto (Estadísticamente Inviable)
16,001,19,12,000005,119,119,248,Empate Exacto (Estadísticamente Inviable)
16,001,20,06,000001,217,2,219,Polarización Extrema (>95%)
16,001,01,01,000061,62,62,130,Empate Exacto (Estadísticamente Inviable)
16,001,01,08,000047,92,92,191,Empate Exacto (Estadísticamente Inviable)
16,001,01,12,000014,7,200,209,Polarización Extrema (>95%)
16,001,02,24,000003,148,148,306,Empate Exacto (Estadísticamente Inviable)
16,001,03,08,000002,99,99,202,Empate Exacto (Estadísticamente Inviable)
16,001,08,01,000010,126,126,263,Empate Exacto (Estadísticamente Inviable)
16,001,08,02,000017,130,130,274,Empate Exacto (Estadísticamente Inviable)
16,001,08,07,000014,120,120,250,Empate Exacto (Estadísticamente Inviable)
16,001,08,19,000013,157,125,295,Clonada (Idéntica a mesa anterior)
16,001,06,01,000016,57,57,117,Empate Exacto (Estadísticamente Inviable)
16,001,06,02,000006,131,131,267,Empate Exacto (Estadísticamente Inviable)
16,001,06,07,000002,120,120,247,Empate Exacto (Estadísticamente Inviable)
16,001,06,09,000012,134,134,270,Empate Exacto (Estadísticamente Inviable)
16,001,07,01,000003,118,118,240,Empate Exacto (Estadísticamente Inviable)
16,001,07,01,000038,103,103,216,Empate Exacto (Estadísticamente Inviable)
16,001,07,11,000018,135,135,277,Empate Exacto (Estadísticamente Inviable)
16,001,07,17,000001,131,131,266,Empate Exacto (Estadísticamente Inviable)
16,001,06,24,000003,156,156,323,Empate Exacto (Estadísticamente Inviable)
