Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
17,001,01,03,000012,0,0,191,Empate Exacto (Estadísticamente Inviable)
17,001,99,31,000001,90,2,93,Polarización Extrema (>95%)
17,002,00,00,000009,203,4,207,Polarización Extrema (>95%)
17,002,00,00,000010,207,4,211,Polarización Extrema (>95%)
17,007,99,05,000001,154,0,154,Polarización Extrema (>95%)
17,010,99,47,000001,138,6,144,Polarización Extrema (>95%)
17,010,99,47,000002,89,3,92,Polarización Extrema (>95%)
17,011,99,20,000002,150,5,155,Polarización Extrema (>95%)
17,011,99,34,000001,144,0,144,Polarización Extrema (>95%)
17,011,99,37,000001,219,0,219,Polarización Extrema (>95%)
17,011,99,42,000001,68,0,68,Polarización Extrema (>95%)
17,012,99,60,000002,190,3,194,Polarización Extrema (>95%)
17,015,99,60,000001,145,3,149,Polarización Extrema (>95%)
17,016,00,00,000011,90,90,186,Empate Exacto (Estadísticamente Inviable)
17,019,99,90,000001,76,0,76,Polarización Extrema (>95%)
17,022,00,00,000006,183,4,187,Polarización Extrema (>95%)
17,022,00,00,000011,95,3,98,Polarización Extrema (>95%)
17,026,00,00,000006,126,5,132,Polarización Extrema (>95%)
17,026,99,10,000001,166,6,172,Polarización Extrema (>95%)
17,026,99,10,000003,135,4,139,Polarización Extrema (>95%)
17,031,00,00,000008,164,3,168,Polarización Extrema (>95%)
17,031,00,00,000012,53,1,55,Polarización Extrema (>95%)
17,034,00,00,000022,138,4,145,Polarización Extrema (>95%)
17,034,99,12,000001,152,0,152,Polarización Extrema (>95%)
17,038,99,35,000001,235,0,235,Polarización Extrema (>95%)
17,038,99,82,000001,62,0,62,Polarización Extrema (>95%)
17,038,99,90,000001,140,0,140,Polarización Extrema (>95%)
17,038,99,98,000001,120,1,121,Polarización Extrema (>95%)
17,001,99,24,000002,116,2,119,Polarización Extrema (>95%)
17,002,99,20,000002,185,1,194,Polarización Extrema (>95%)
17,006,99,02,000001,100,3,103,Polarización Extrema (>95%)
17,006,99,03,000001,156,0,156,Polarización Extrema (>95%)
17,006,99,03,000002,269,0,269,Polarización Extrema (>95%)
17,006,99,03,000003,221,0,221,Polarización Extrema (>95%)
17,006,99,17,000001,230,0,230,Polarización Extrema (>95%)
17,006,99,17,000002,69,0,69,Polarización Extrema (>95%)
17,006,99,21,000001,100,3,103,Polarización Extrema (>95%)
17,006,99,30,000001,94,0,94,Polarización Extrema (>95%)
17,006,99,33,000001,97,0,97,Polarización Extrema (>95%)
17,006,99,86,000001,121,0,122,Polarización Extrema (>95%)
17,007,99,01,000001,178,0,178,Polarización Extrema (>95%)
17,007,99,01,000002,197,0,197,Polarización Extrema (>95%)
17,007,99,01,000003,302,0,302,Polarización Extrema (>95%)
17,007,99,01,000004,225,0,225,Polarización Extrema (>95%)
17,007,99,01,000005,169,0,169,Polarización Extrema (>95%)
17,007,99,14,000001,112,1,113,Polarización Extrema (>95%)
17,007,99,14,000002,116,0,116,Polarización Extrema (>95%)
17,010,99,25,000001,135,6,141,Polarización Extrema (>95%)
17,011,99,17,000001,110,4,114,Polarización Extrema (>95%)
17,011,99,40,000001,107,0,107,Polarización Extrema (>95%)
17,012,99,55,000001,171,6,177,Polarización Extrema (>95%)
17,012,99,55,000002,150,4,154,Polarización Extrema (>95%)
17,015,99,30,000003,199,6,209,Polarización Extrema (>95%)
17,019,99,85,000001,61,1,63,Polarización Extrema (>95%)
17,026,99,11,000001,48,1,50,Polarización Extrema (>95%)
17,026,99,15,000001,197,0,197,Polarización Extrema (>95%)
17,026,99,16,000001,126,1,127,Polarización Extrema (>95%)
17,027,99,24,000001,216,0,216,Polarización Extrema (>95%)
17,028,99,29,000001,205,3,213,Polarización Extrema (>95%)
17,031,99,17,000004,77,3,81,Polarización Extrema (>95%)
17,031,99,29,000001,207,7,214,Polarización Extrema (>95%)
17,031,99,29,000002,156,3,159,Polarización Extrema (>95%)
17,032,99,05,000001,84,2,87,Polarización Extrema (>95%)
17,038,00,00,000001,151,3,154,Polarización Extrema (>95%)
17,038,00,00,000005,109,3,114,Polarización Extrema (>95%)
17,038,00,00,000007,176,2,179,Polarización Extrema (>95%)
17,038,99,95,000001,153,0,156,Polarización Extrema (>95%)
17,038,99,96,000001,235,0,235,Polarización Extrema (>95%)
17,001,99,26,000001,102,0,102,Polarización Extrema (>95%)
17,001,99,28,000001,50,1,51,Polarización Extrema (>95%)
17,006,99,40,000001,222,1,225,Polarización Extrema (>95%)
17,006,99,40,000002,130,2,132,Polarización Extrema (>95%)
17,006,99,50,000001,133,1,135,Polarización Extrema (>95%)
17,006,99,81,000001,135,0,135,Polarización Extrema (>95%)
17,007,99,90,000001,183,0,184,Polarización Extrema (>95%)
17,007,99,90,000002,103,0,103,Polarización Extrema (>95%)
17,010,99,05,000004,55,1,56,Polarización Extrema (>95%)
17,011,99,33,000001,201,2,203,Polarización Extrema (>95%)
17,015,99,80,000001,168,2,173,Polarización Extrema (>95%)
17,015,99,80,000002,60,3,63,Polarización Extrema (>95%)
17,026,99,30,000001,172,1,173,Polarización Extrema (>95%)
17,026,99,30,000002,64,2,66,Polarización Extrema (>95%)
17,027,00,01,000007,107,4,111,Polarización Extrema (>95%)
17,027,99,17,000003,160,1,162,Polarización Extrema (>95%)
17,035,99,57,000001,89,2,91,Polarización Extrema (>95%)
17,038,99,83,000001,155,0,155,Polarización Extrema (>95%)
17,038,99,94,000001,63,0,63,Polarización Extrema (>95%)
17,040,99,05,000001,70,2,73,Polarización Extrema (>95%)
17,006,99,04,000001,83,0,85,Polarización Extrema (>95%)
17,006,99,10,000001,64,0,64,Polarización Extrema (>95%)
17,006,99,15,000001,106,0,106,Polarización Extrema (>95%)
17,006,99,18,000001,85,0,85,Polarización Extrema (>95%)
17,006,99,20,000001,138,0,138,Polarización Extrema (>95%)
17,006,99,22,000001,66,0,66,Polarización Extrema (>95%)
17,010,99,43,000001,161,1,162,Polarización Extrema (>95%)
17,010,99,51,000001,67,0,69,Polarización Extrema (>95%)
17,010,99,90,000001,231,1,232,Polarización Extrema (>95%)
17,010,99,90,000002,207,4,215,Polarización Extrema (>95%)
17,010,99,90,000003,181,1,188,Polarización Extrema (>95%)
17,010,99,90,000004,193,0,193,Polarización Extrema (>95%)
17,012,99,45,000001,177,4,181,Polarización Extrema (>95%)
17,012,99,45,000002,118,2,122,Polarización Extrema (>95%)
17,012,99,50,000001,176,3,179,Polarización Extrema (>95%)
17,026,99,25,000001,176,0,176,Polarización Extrema (>95%)
17,026,99,25,000002,74,1,75,Polarización Extrema (>95%)
17,026,99,60,000001,136,3,140,Polarización Extrema (>95%)
17,031,99,33,000001,98,2,101,Polarización Extrema (>95%)
17,034,99,04,000001,147,0,147,Polarización Extrema (>95%)
17,034,99,11,000001,264,0,264,Polarización Extrema (>95%)
17,034,99,11,000002,146,0,146,Polarización Extrema (>95%)
17,038,99,80,000001,152,0,152,Polarización Extrema (>95%)
17,038,99,91,000001,108,0,108,Polarización Extrema (>95%)
17,001,99,06,000001,188,0,188,Polarización Extrema (>95%)
17,001,99,16,000001,97,0,99,Polarización Extrema (>95%)
17,001,99,30,000001,69,2,71,Polarización Extrema (>95%)
17,006,99,07,000001,135,5,140,Polarización Extrema (>95%)
17,008,99,35,000001,55,0,55,Polarización Extrema (>95%)
17,010,99,37,000001,175,8,184,Polarización Extrema (>95%)
17,011,99,05,000001,76,1,78,Polarización Extrema (>95%)
17,012,99,12,000002,93,4,97,Polarización Extrema (>95%)
17,015,99,50,000001,121,3,124,Polarización Extrema (>95%)
17,019,99,35,000001,87,0,88,Polarización Extrema (>95%)
17,038,99,60,000001,211,2,213,Polarización Extrema (>95%)
17,038,99,84,000001,112,0,112,Polarización Extrema (>95%)
17,006,99,27,000001,227,1,229,Polarización Extrema (>95%)
17,011,99,41,000001,228,0,228,Polarización Extrema (>95%)
17,019,99,80,000001,168,0,170,Polarización Extrema (>95%)
17,034,99,14,000001,102,0,102,Polarización Extrema (>95%)
17,034,99,26,000001,108,1,109,Polarización Extrema (>95%)
17,038,99,70,000001,105,0,105,Polarización Extrema (>95%)
17,006,99,70,000001,252,0,252,Polarización Extrema (>95%)
17,011,99,35,000001,137,0,137,Polarización Extrema (>95%)
17,026,99,38,000001,121,1,122,Polarización Extrema (>95%)
17,034,99,17,000001,61,0,61,Polarización Extrema (>95%)
17,034,99,20,000001,154,0,154,Polarización Extrema (>95%)
17,034,99,21,000001,76,3,79,Polarización Extrema (>95%)
17,038,99,20,000001,104,1,105,Polarización Extrema (>95%)
17,006,99,29,000001,214,0,215,Polarización Extrema (>95%)
17,006,99,34,000001,172,1,173,Polarización Extrema (>95%)
17,011,99,32,000001,53,0,53,Polarización Extrema (>95%)
17,015,99,97,000001,73,0,73,Polarización Extrema (>95%)
17,026,99,01,000001,134,4,138,Polarización Extrema (>95%)
17,026,99,64,000001,151,5,156,Polarización Extrema (>95%)
17,026,99,64,000002,49,1,51,Polarización Extrema (>95%)
17,032,99,01,000001,48,2,50,Polarización Extrema (>95%)
17,034,99,15,000001,103,0,103,Polarización Extrema (>95%)
17,034,99,64,000001,119,0,120,Polarización Extrema (>95%)
17,038,99,50,000001,163,0,163,Polarización Extrema (>95%)
17,038,99,50,000002,50,0,50,Polarización Extrema (>95%)
17,038,99,92,000001,99,0,99,Polarización Extrema (>95%)
17,060,99,68,000003,74,3,77,Polarización Extrema (>95%)
17,006,99,80,000001,227,0,227,Polarización Extrema (>95%)
17,010,99,53,000001,129,6,135,Polarización Extrema (>95%)
17,019,99,23,000001,101,0,102,Polarización Extrema (>95%)
17,038,99,79,000001,242,0,242,Polarización Extrema (>95%)
17,006,99,09,000001,57,0,57,Polarización Extrema (>95%)
17,006,99,13,000001,237,0,237,Polarización Extrema (>95%)
17,006,99,31,000001,145,0,145,Polarización Extrema (>95%)
17,019,99,40,000001,155,0,161,Polarización Extrema (>95%)
17,026,99,72,000001,183,0,183,Polarización Extrema (>95%)
17,026,99,72,000002,131,1,132,Polarización Extrema (>95%)
17,034,99,25,000001,173,4,178,Polarización Extrema (>95%)
17,038,99,81,000001,273,1,275,Polarización Extrema (>95%)
17,038,99,93,000001,204,1,208,Polarización Extrema (>95%)
17,038,99,97,000001,195,0,195,Polarización Extrema (>95%)
17,038,99,99,000001,81,0,81,Polarización Extrema (>95%)
17,082,99,05,000001,151,3,158,Polarización Extrema (>95%)
17,006,99,14,000001,126,1,127,Polarización Extrema (>95%)
17,010,99,29,000001,75,2,78,Polarización Extrema (>95%)
17,011,99,36,000001,136,0,137,Polarización Extrema (>95%)
17,011,99,39,000001,178,0,178,Polarización Extrema (>95%)
17,026,99,04,000001,191,2,193,Polarización Extrema (>95%)
17,040,99,09,000001,186,5,192,Polarización Extrema (>95%)
17,040,99,09,000002,69,0,71,Polarización Extrema (>95%)
17,001,99,75,000001,103,0,104,Polarización Extrema (>95%)
17,006,99,24,000001,115,0,115,Polarización Extrema (>95%)
17,082,99,01,000001,68,0,68,Polarización Extrema (>95%)
17,001,99,19,000001,107,0,107,Polarización Extrema (>95%)
17,006,99,12,000001,109,2,112,Polarización Extrema (>95%)
17,006,99,26,000001,138,2,140,Polarización Extrema (>95%)
17,010,99,61,000001,163,5,168,Polarización Extrema (>95%)
17,026,99,02,000001,102,4,106,Polarización Extrema (>95%)
17,034,99,02,000001,103,0,103,Polarización Extrema (>95%)
17,038,99,A3,000001,55,0,55,Polarización Extrema (>95%)
17,001,99,21,000001,109,1,110,Polarización Extrema (>95%)
17,006,99,25,000001,107,0,107,Polarización Extrema (>95%)
17,006,99,32,000001,118,0,118,Polarización Extrema (>95%)
17,011,99,38,000001,96,0,96,Polarización Extrema (>95%)
17,038,99,45,000001,132,0,132,Polarización Extrema (>95%)
17,038,99,65,000001,150,0,152,Polarización Extrema (>95%)
17,040,99,01,000001,149,2,151,Polarización Extrema (>95%)
