Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
19,001,01,06,000002,140,140,287,Empate Exacto (Estadísticamente Inviable)
19,001,01,07,000029,130,130,265,Empate Exacto (Estadísticamente Inviable)
19,001,02,03,000012,85,85,172,Empate Exacto (Estadísticamente Inviable)
19,001,05,02,000012,101,101,210,Empate Exacto (Estadísticamente Inviable)
19,001,05,04,000026,84,84,177,Empate Exacto (Estadísticamente Inviable)
19,001,06,05,000020,121,105,230,Clonada (Idéntica a mesa anterior)
19,001,06,07,000003,119,119,246,Empate Exacto (Estadísticamente Inviable)
19,013,00,00,000025,116,116,256,Empate Exacto (Estadísticamente Inviable)
19,034,01,03,000011,110,110,227,Empate Exacto (Estadísticamente Inviable)
19,034,02,01,000007,89,189,288,Clonada (Idéntica a mesa anterior)
19,034,02,03,000005,110,110,225,Empate Exacto (Estadísticamente Inviable)
19,049,99,01,000011,30,30,63,Empate Exacto (Estadísticamente Inviable)
19,061,01,05,000009,97,97,201,Empate Exacto (Estadísticamente Inviable)
19,061,02,05,000022,43,43,88,Empate Exacto (Estadísticamente Inviable)
19,061,99,15,000007,24,24,53,Empate Exacto (Estadísticamente Inviable)
19,001,04,06,000003,131,131,268,Empate Exacto (Estadísticamente Inviable)
19,028,99,01,000001,4,163,169,Polarización Extrema (>95%)
19,028,99,03,000001,7,223,232,Polarización Extrema (>95%)
19,091,00,00,000008,101,101,207,Empate Exacto (Estadísticamente Inviable)
