Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
24,001,10,02,000002,117,117,243,Empate Exacto (Estadísticamente Inviable)
24,001,10,05,000012,155,64,232,Clonada (Idéntica a mesa anterior)
24,001,11,02,000019,72,72,150,Empate Exacto (Estadísticamente Inviable)
24,001,01,03,000001,124,124,253,Empate Exacto (Estadísticamente Inviable)
24,025,05,01,000009,85,85,179,Empate Exacto (Estadísticamente Inviable)
24,025,12,02,000038,85,85,175,Empate Exacto (Estadísticamente Inviable)
24,062,99,35,000001,182,4,187,Polarización Extrema (>95%)
24,062,99,35,000002,231,0,232,Polarización Extrema (>95%)
24,062,99,35,000003,277,0,278,Polarización Extrema (>95%)
24,062,99,35,000004,285,0,285,Polarización Extrema (>95%)
24,062,99,35,000005,290,0,294,Polarización Extrema (>95%)
24,062,99,35,000006,257,0,257,Polarización Extrema (>95%)
24,062,99,35,000007,258,0,258,Polarización Extrema (>95%)
24,062,99,35,000008,279,0,281,Polarización Extrema (>95%)
24,070,99,50,000005,258,3,262,Polarización Extrema (>95%)
24,070,99,50,000006,236,9,248,Polarización Extrema (>95%)
24,070,99,50,000008,275,2,284,Polarización Extrema (>95%)
24,070,99,50,000009,275,3,281,Polarización Extrema (>95%)
24,070,99,50,000012,218,1,220,Polarización Extrema (>95%)
24,070,99,60,000001,244,1,247,Polarización Extrema (>95%)
24,078,00,01,000014,80,80,170,Empate Exacto (Estadísticamente Inviable)
24,086,02,01,000014,102,102,209,Empate Exacto (Estadísticamente Inviable)
24,070,99,55,000001,274,0,276,Polarización Extrema (>95%)
