Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
25,001,02,04,000021,3,67,70,Polarización Extrema (>95%)
25,001,05,08,000003,38,269,310,Clonada (Idéntica a mesa anterior)
25,007,00,00,000011,25,203,231,Clonada (Idéntica a mesa anterior)
25,013,99,01,000001,5,252,259,Polarización Extrema (>95%)
25,013,99,01,000002,5,215,226,Polarización Extrema (>95%)
25,019,99,06,000001,2,99,102,Polarización Extrema (>95%)
25,013,00,00,000002,6,220,230,Polarización Extrema (>95%)
25,013,99,09,000001,9,247,257,Polarización Extrema (>95%)
25,013,99,09,000002,9,230,240,Polarización Extrema (>95%)
25,019,99,26,000001,2,188,190,Polarización Extrema (>95%)
25,007,99,12,000001,7,172,179,Polarización Extrema (>95%)
25,046,00,00,000002,4,187,191,Polarización Extrema (>95%)
25,046,00,00,000003,5,171,176,Polarización Extrema (>95%)
25,046,00,00,000004,6,201,208,Polarización Extrema (>95%)
25,046,00,00,000007,5,158,165,Polarización Extrema (>95%)
25,046,00,00,000011,1,58,61,Polarización Extrema (>95%)
25,055,00,00,000001,12,253,265,Polarización Extrema (>95%)
25,055,00,00,000002,6,251,259,Polarización Extrema (>95%)
25,055,00,00,000004,6,270,276,Polarización Extrema (>95%)
25,055,00,00,000005,9,254,266,Polarización Extrema (>95%)
25,064,01,04,000016,48,48,98,Empate Exacto (Estadísticamente Inviable)
25,067,00,00,000001,10,252,265,Polarización Extrema (>95%)
25,070,00,00,000001,2,89,91,Polarización Extrema (>95%)
25,070,00,00,000004,3,138,143,Polarización Extrema (>95%)
25,070,00,00,000006,5,161,169,Polarización Extrema (>95%)
25,070,00,00,000007,6,135,141,Polarización Extrema (>95%)
25,070,00,00,000010,4,149,154,Polarización Extrema (>95%)
25,070,00,00,000015,3,130,135,Polarización Extrema (>95%)
25,076,99,10,000001,181,7,188,Polarización Extrema (>95%)
25,085,00,00,000003,8,219,227,Polarización Extrema (>95%)
25,085,00,00,000010,5,226,232,Polarización Extrema (>95%)
25,088,99,01,000001,9,254,265,Polarización Extrema (>95%)
25,091,99,50,000001,218,0,222,Polarización Extrema (>95%)
25,091,99,50,000002,214,1,218,Polarización Extrema (>95%)
25,091,99,50,000003,134,0,134,Polarización Extrema (>95%)
25,093,02,01,000006,61,61,125,Empate Exacto (Estadísticamente Inviable)
25,093,99,40,000004,78,78,162,Empate Exacto (Estadísticamente Inviable)
25,022,99,10,000001,187,2,190,Polarización Extrema (>95%)
25,022,99,10,000002,155,0,157,Polarización Extrema (>95%)
25,031,99,10,000001,5,256,263,Polarización Extrema (>95%)
25,037,99,04,000001,199,3,204,Polarización Extrema (>95%)
25,038,99,27,000001,10,231,242,Polarización Extrema (>95%)
25,040,99,09,000001,10,276,288,Polarización Extrema (>95%)
25,064,99,01,000001,6,175,182,Polarización Extrema (>95%)
25,076,99,07,000001,146,3,153,Polarización Extrema (>95%)
25,076,99,18,000001,170,1,178,Polarización Extrema (>95%)
25,088,99,20,000001,11,255,267,Polarización Extrema (>95%)
25,088,99,25,000001,12,292,306,Polarización Extrema (>95%)
25,091,99,05,000004,200,8,210,Polarización Extrema (>95%)
25,019,99,02,000001,2,86,88,Polarización Extrema (>95%)
25,022,99,27,000001,193,2,198,Polarización Extrema (>95%)
25,038,99,01,000001,6,233,241,Polarización Extrema (>95%)
25,076,99,06,000001,68,0,70,Polarización Extrema (>95%)
25,076,99,30,000001,129,0,129,Polarización Extrema (>95%)
25,076,99,75,000001,174,0,174,Polarización Extrema (>95%)
25,082,99,28,000001,1,60,62,Polarización Extrema (>95%)
25,091,99,10,000001,215,0,217,Polarización Extrema (>95%)
25,091,99,10,000002,204,8,214,Polarización Extrema (>95%)
25,091,99,10,000004,161,0,161,Polarización Extrema (>95%)
25,019,99,12,000001,4,119,124,Polarización Extrema (>95%)
25,031,99,09,000001,115,0,115,Polarización Extrema (>95%)
25,093,99,07,000002,55,2,57,Polarización Extrema (>95%)
25,094,00,00,000002,9,237,248,Polarización Extrema (>95%)
25,094,00,00,000003,11,218,229,Polarización Extrema (>95%)
25,097,00,00,000003,9,214,225,Polarización Extrema (>95%)
25,037,99,06,000001,142,1,143,Polarización Extrema (>95%)
25,091,99,03,000001,199,8,208,Polarización Extrema (>95%)
25,100,99,21,000001,4,147,154,Polarización Extrema (>95%)
25,082,99,09,000001,4,164,169,Polarización Extrema (>95%)
25,076,99,55,000001,74,1,77,Polarización Extrema (>95%)
25,076,99,60,000001,157,3,161,Polarización Extrema (>95%)
25,007,99,09,000001,8,245,254,Polarización Extrema (>95%)
25,022,99,12,000001,192,4,200,Polarización Extrema (>95%)
25,022,99,12,000002,145,1,151,Polarización Extrema (>95%)
25,037,99,02,000001,130,1,132,Polarización Extrema (>95%)
25,076,99,80,000001,218,4,225,Polarización Extrema (>95%)
25,088,99,03,000001,1,152,155,Polarización Extrema (>95%)
25,037,99,33,000001,77,2,80,Polarización Extrema (>95%)
25,076,99,16,000001,194,6,200,Polarización Extrema (>95%)
