Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
27,082,01,01,000019,91,91,188,Empate Exacto (Estadísticamente Inviable)
27,082,01,01,000030,86,86,180,Empate Exacto (Estadísticamente Inviable)
27,082,01,01,000038,46,46,94,Empate Exacto (Estadísticamente Inviable)
27,082,02,01,000032,68,68,140,Empate Exacto (Estadísticamente Inviable)
27,082,04,03,000011,108,108,228,Empate Exacto (Estadísticamente Inviable)
27,082,04,08,000013,110,110,222,Empate Exacto (Estadísticamente Inviable)
27,082,08,02,000017,132,132,272,Empate Exacto (Estadísticamente Inviable)
27,019,99,A2,000015,54,54,115,Empate Exacto (Estadísticamente Inviable)
27,045,02,01,000018,28,28,58,Empate Exacto (Estadísticamente Inviable)
27,052,00,00,000007,50,157,216,Clonada (Idéntica a mesa anterior)
27,091,04,01,000015,107,107,219,Empate Exacto (Estadísticamente Inviable)
27,160,05,03,000020,115,115,236,Empate Exacto (Estadísticamente Inviable)
27,160,06,01,000007,28,28,59,Empate Exacto (Estadísticamente Inviable)
27,174,02,02,000014,86,86,179,Empate Exacto (Estadísticamente Inviable)
27,181,02,02,000008,110,110,228,Empate Exacto (Estadísticamente Inviable)
27,219,00,00,000001,8,266,276,Polarización Extrema (>95%)
27,219,00,00,000002,7,245,256,Polarización Extrema (>95%)
27,071,99,10,000001,2,271,280,Polarización Extrema (>95%)
27,082,07,04,000008,76,201,296,Clonada (Idéntica a mesa anterior)
27,037,99,50,000001,3,62,65,Polarización Extrema (>95%)
27,040,99,05,000001,4,120,124,Polarización Extrema (>95%)
27,043,99,03,000001,61,1,64,Polarización Extrema (>95%)
27,091,04,06,000003,113,113,232,Empate Exacto (Estadísticamente Inviable)
27,145,99,03,000001,1,89,93,Polarización Extrema (>95%)
27,181,02,06,000006,125,125,260,Empate Exacto (Estadísticamente Inviable)
27,121,99,38,000001,12,280,293,Polarización Extrema (>95%)
27,139,99,10,000001,5,96,101,Polarización Extrema (>95%)
27,076,00,00,000001,9,274,284,Polarización Extrema (>95%)
27,076,00,00,000002,11,262,274,Polarización Extrema (>95%)
27,045,99,11,000002,24,24,51,Empate Exacto (Estadísticamente Inviable)
27,045,99,18,000001,32,32,65,Empate Exacto (Estadísticamente Inviable)
27,071,99,23,000001,3,188,195,Polarización Extrema (>95%)
27,121,99,19,000001,15,296,311,Polarización Extrema (>95%)
27,136,99,20,000001,4,98,103,Polarización Extrema (>95%)
27,220,99,75,000001,5,126,132,Polarización Extrema (>95%)
27,217,99,90,000001,2,185,188,Polarización Extrema (>95%)
27,037,99,60,000001,4,143,148,Polarización Extrema (>95%)
27,085,99,70,000001,2,97,100,Polarización Extrema (>95%)
27,195,99,45,000001,3,91,94,Polarización Extrema (>95%)
27,085,99,15,000001,1,78,79,Polarización Extrema (>95%)
27,022,99,70,000001,2,103,108,Polarización Extrema (>95%)
27,139,99,03,000001,3,92,95,Polarización Extrema (>95%)
27,074,99,32,000001,5,107,112,Polarización Extrema (>95%)
27,097,99,13,000001,4,97,102,Polarización Extrema (>95%)
27,120,99,80,000001,6,115,121,Polarización Extrema (>95%)
27,160,04,04,000002,36,36,73,Empate Exacto (Estadísticamente Inviable)
27,094,99,02,000001,2,74,76,Polarización Extrema (>95%)
27,001,02,01,000023,53,53,109,Empate Exacto (Estadísticamente Inviable)
27,001,04,02,000022,100,100,205,Empate Exacto (Estadísticamente Inviable)
27,001,07,01,000015,115,115,237,Empate Exacto (Estadísticamente Inviable)
27,001,08,03,000025,123,123,258,Empate Exacto (Estadísticamente Inviable)
27,001,19,03,000007,105,105,219,Empate Exacto (Estadísticamente Inviable)
27,001,01,05,000002,87,87,185,Empate Exacto (Estadísticamente Inviable)
