Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
48,005,00,00,000017,98,4,102,Polarización Extrema (>95%)
48,001,99,23,000001,49,1,50,Polarización Extrema (>95%)
48,001,99,22,000002,55,1,56,Polarización Extrema (>95%)
48,010,01,01,000014,106,106,215,Empate Exacto (Estadísticamente Inviable)
48,010,01,01,000035,53,53,106,Empate Exacto (Estadísticamente Inviable)
48,010,01,02,000010,51,51,103,Empate Exacto (Estadísticamente Inviable)
48,010,01,04,000001,101,101,210,Empate Exacto (Estadísticamente Inviable)
48,016,01,01,000042,59,59,126,Empate Exacto (Estadísticamente Inviable)
48,016,01,01,000044,41,41,85,Empate Exacto (Estadísticamente Inviable)
48,016,01,02,000013,75,75,156,Empate Exacto (Estadísticamente Inviable)
48,016,02,01,000013,45,45,92,Empate Exacto (Estadísticamente Inviable)
48,016,02,01,000037,39,39,81,Empate Exacto (Estadísticamente Inviable)
48,016,99,20,000008,48,48,100,Empate Exacto (Estadísticamente Inviable)
48,016,99,37,000005,90,34,126,Clonada (Idéntica a mesa anterior)
48,001,99,26,000001,63,3,66,Polarización Extrema (>95%)
48,005,99,45,000001,103,3,108,Polarización Extrema (>95%)
48,001,99,A3,000001,136,5,143,Polarización Extrema (>95%)
