Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
52,001,04,04,000015,102,102,214,Empate Exacto (Estadísticamente Inviable)
52,001,05,03,000002,129,129,264,Empate Exacto (Estadísticamente Inviable)
52,001,06,01,000005,113,113,230,Empate Exacto (Estadísticamente Inviable)
52,001,06,03,000019,92,92,186,Empate Exacto (Estadísticamente Inviable)
52,001,06,03,000020,93,93,192,Empate Exacto (Estadísticamente Inviable)
52,001,07,01,000012,88,171,267,Clonada (Idéntica a mesa anterior)
52,001,08,03,000019,107,107,219,Empate Exacto (Estadísticamente Inviable)
52,001,08,03,000020,51,51,103,Empate Exacto (Estadísticamente Inviable)
52,001,09,03,000025,107,107,218,Empate Exacto (Estadísticamente Inviable)
52,001,11,01,000021,113,113,230,Empate Exacto (Estadísticamente Inviable)
52,001,12,01,000012,86,86,177,Empate Exacto (Estadísticamente Inviable)
52,001,12,02,000024,121,121,246,Empate Exacto (Estadísticamente Inviable)
52,001,13,01,000013,105,105,213,Empate Exacto (Estadísticamente Inviable)
52,001,14,02,000009,112,101,219,Clonada (Idéntica a mesa anterior)
52,001,14,04,000007,111,111,230,Empate Exacto (Estadísticamente Inviable)
52,001,99,40,000004,118,118,248,Empate Exacto (Estadísticamente Inviable)
52,005,02,04,000014,125,125,264,Empate Exacto (Estadísticamente Inviable)
52,006,00,00,000008,102,102,213,Empate Exacto (Estadísticamente Inviable)
52,043,01,01,000028,104,104,214,Empate Exacto (Estadísticamente Inviable)
52,043,99,84,000001,280,8,291,Polarización Extrema (>95%)
52,043,99,84,000002,261,7,271,Polarización Extrema (>95%)
52,043,99,84,000004,173,2,179,Polarización Extrema (>95%)
52,043,99,85,000001,263,3,272,Polarización Extrema (>95%)
52,043,99,85,000002,266,5,275,Polarización Extrema (>95%)
52,043,99,87,000001,164,5,169,Polarización Extrema (>95%)
52,001,08,02,000012,128,128,262,Empate Exacto (Estadísticamente Inviable)
52,043,02,01,000015,93,93,192,Empate Exacto (Estadísticamente Inviable)
52,001,11,05,000002,105,105,213,Empate Exacto (Estadísticamente Inviable)
52,043,99,83,000001,235,7,245,Polarización Extrema (>95%)
52,043,99,83,000003,221,1,226,Polarización Extrema (>95%)
52,010,99,01,000007,65,65,141,Empate Exacto (Estadísticamente Inviable)
52,049,00,00,000023,110,110,226,Empate Exacto (Estadísticamente Inviable)
52,080,99,93,000001,158,0,159,Polarización Extrema (>95%)
52,043,99,88,000001,281,2,284,Polarización Extrema (>95%)
52,074,99,21,000001,254,4,261,Polarización Extrema (>95%)
