Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
64,001,01,04,000003,179,96,280,Clonada (Idéntica a mesa anterior)
64,001,99,37,000002,166,3,170,Polarización Extrema (>95%)
64,002,99,03,000002,219,3,227,Polarización Extrema (>95%)
64,023,99,18,000004,253,7,263,Polarización Extrema (>95%)
64,023,99,18,000006,70,1,73,Polarización Extrema (>95%)
64,004,99,02,000001,204,4,213,Polarización Extrema (>95%)
64,023,99,11,000001,95,2,97,Polarización Extrema (>95%)
64,023,99,13,000001,242,10,252,Polarización Extrema (>95%)
64,023,99,13,000002,91,1,93,Polarización Extrema (>95%)
64,028,99,10,000007,89,3,93,Polarización Extrema (>95%)
64,028,99,35,000001,258,8,267,Polarización Extrema (>95%)
64,018,99,41,000002,68,2,71,Polarización Extrema (>95%)
64,023,99,15,000001,66,0,69,Polarización Extrema (>95%)
64,002,99,60,000002,175,7,184,Polarización Extrema (>95%)
64,023,99,08,000002,123,1,126,Polarización Extrema (>95%)
64,002,99,20,000001,194,4,204,Polarización Extrema (>95%)
64,002,99,20,000002,214,3,220,Polarización Extrema (>95%)
64,030,99,01,000001,114,4,118,Polarización Extrema (>95%)
64,004,99,25,000001,80,2,84,Polarización Extrema (>95%)
