Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
68,004,99,01,000001,90,2,92,Polarización Extrema (>95%)
68,001,99,90,000001,173,4,180,Polarización Extrema (>95%)
68,013,00,00,000001,158,5,164,Polarización Extrema (>95%)
68,013,00,00,000002,66,1,69,Polarización Extrema (>95%)
68,017,99,01,000001,57,1,58,Polarización Extrema (>95%)
68,001,99,19,000001,156,3,160,Polarización Extrema (>95%)
68,001,99,19,000002,59,1,61,Polarización Extrema (>95%)
68,001,99,15,000001,146,3,149,Polarización Extrema (>95%)
68,013,99,01,000001,135,0,135,Polarización Extrema (>95%)
68,022,99,50,000001,138,3,144,Polarización Extrema (>95%)
