Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
72,006,99,15,000001,53,1,54,Polarización Extrema (>95%)
72,006,99,57,000002,50,0,52,Polarización Extrema (>95%)
72,006,99,13,000001,59,3,62,Polarización Extrema (>95%)
72,006,99,17,000001,137,2,141,Polarización Extrema (>95%)
72,006,99,89,000001,252,10,264,Polarización Extrema (>95%)
72,006,99,89,000002,172,6,178,Polarización Extrema (>95%)
72,006,99,96,000001,207,3,210,Polarización Extrema (>95%)
72,006,99,96,000002,171,6,178,Polarización Extrema (>95%)
72,006,99,96,000003,65,2,68,Polarización Extrema (>95%)
72,001,99,10,000002,45,45,93,Empate Exacto (Estadísticamente Inviable)
72,006,99,11,000002,93,2,96,Polarización Extrema (>95%)
72,006,99,93,000001,218,0,218,Polarización Extrema (>95%)
72,006,99,93,000002,203,0,203,Polarización Extrema (>95%)
72,006,99,97,000001,193,4,198,Polarización Extrema (>95%)
72,006,99,97,000002,64,0,65,Polarización Extrema (>95%)
72,006,99,12,000001,213,2,217,Polarización Extrema (>95%)
72,006,99,12,000002,186,1,188,Polarización Extrema (>95%)
72,006,99,14,000001,136,5,141,Polarización Extrema (>95%)
72,006,99,20,000001,123,4,128,Polarización Extrema (>95%)
72,006,99,47,000001,123,3,129,Polarización Extrema (>95%)
72,006,99,94,000001,260,0,260,Polarización Extrema (>95%)
72,006,99,94,000002,208,5,214,Polarización Extrema (>95%)
72,006,99,98,000001,194,0,200,Polarización Extrema (>95%)
72,001,99,45,000001,59,3,62,Polarización Extrema (>95%)
72,006,99,90,000001,165,4,169,Polarización Extrema (>95%)
72,006,99,90,000002,155,4,159,Polarización Extrema (>95%)
