cod_municipio,zona,puesto,num_mesa,votos_cepeda,votos_espriella,digito_inicial,tipo_anomalia
001,01,01,000017,90,76,9,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000024,89,43,8,RELLENO_ARTIFICIAL_BENFORD
001,01,02,000001,80,89,8,RELLENO_ARTIFICIAL_BENFORD
001,01,02,000004,92,102,9,RELLENO_ARTIFICIAL_BENFORD
001,02,01,000009,93,99,9,RELLENO_ARTIFICIAL_BENFORD
001,02,01,000011,86,78,8,RELLENO_ARTIFICIAL_BENFORD
001,02,03,000014,86,56,8,RELLENO_ARTIFICIAL_BENFORD
022,00,00,000001,90,21,9,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000014,92,45,9,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000016,97,69,9,RELLENO_ARTIFICIAL_BENFORD
001,01,02,000007,93,136,9,RELLENO_ARTIFICIAL_BENFORD
001,01,02,000013,80,72,8,RELLENO_ARTIFICIAL_BENFORD
001,02,02,000010,99,94,9,RELLENO_ARTIFICIAL_BENFORD
001,02,02,000021,97,57,9,RELLENO_ARTIFICIAL_BENFORD
001,02,03,000002,95,142,9,RELLENO_ARTIFICIAL_BENFORD
001,02,03,000015,98,60,9,RELLENO_ARTIFICIAL_BENFORD
001,02,03,000019,89,70,8,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000015,86,40,8,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000025,86,53,8,RELLENO_ARTIFICIAL_BENFORD
001,02,02,000020,96,60,9,RELLENO_ARTIFICIAL_BENFORD
001,02,03,000017,84,83,8,RELLENO_ARTIFICIAL_BENFORD
022,00,00,000004,94,20,9,RELLENO_ARTIFICIAL_BENFORD
001,01,02,000009,87,109,8,RELLENO_ARTIFICIAL_BENFORD
016,00,00,000004,99,7,9,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000013,83,83,8,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000023,94,68,9,RELLENO_ARTIFICIAL_BENFORD
001,02,03,000021,86,47,8,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000012,84,120,8,RELLENO_ARTIFICIAL_BENFORD
001,02,01,000007,89,129,8,RELLENO_ARTIFICIAL_BENFORD
001,02,02,000028,86,30,8,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000018,99,70,9,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000022,84,79,8,RELLENO_ARTIFICIAL_BENFORD
001,02,02,000017,99,70,9,RELLENO_ARTIFICIAL_BENFORD
001,02,03,000018,84,91,8,RELLENO_ARTIFICIAL_BENFORD
022,00,00,000002,96,23,9,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000008,95,124,9,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000019,99,64,9,RELLENO_ARTIFICIAL_BENFORD
001,01,01,000020,92,80,9,RELLENO_ARTIFICIAL_BENFORD
001,01,02,000012,83,68,8,RELLENO_ARTIFICIAL_BENFORD
001,02,01,000005,91,122,9,RELLENO_ARTIFICIAL_BENFORD
001,02,01,000012,80,92,8,RELLENO_ARTIFICIAL_BENFORD
001,02,03,000006,86,92,8,RELLENO_ARTIFICIAL_BENFORD
001,02,03,000016,87,66,8,RELLENO_ARTIFICIAL_BENFORD
016,00,00,000003,97,12,9,RELLENO_ARTIFICIAL_BENFORD
001,02,01,000014,88,129,8,RELLENO_ARTIFICIAL_BENFORD
001,02,03,000023,90,63,9,RELLENO_ARTIFICIAL_BENFORD
001,02,01,000002,96,96,9,RELLENO_ARTIFICIAL_BENFORD
001,02,01,000006,91,109,9,RELLENO_ARTIFICIAL_BENFORD
001,02,03,000012,95,44,9,RELLENO_ARTIFICIAL_BENFORD
007,99,21,000002,9,1,9,RELLENO_ARTIFICIAL_BENFORD
019,00,00,000001,91,1,9,RELLENO_ARTIFICIAL_BENFORD
001,01,02,000011,81,88,8,RELLENO_ARTIFICIAL_BENFORD
001,02,01,000015,87,106,8,RELLENO_ARTIFICIAL_BENFORD
001,02,02,000016,87,58,8,RELLENO_ARTIFICIAL_BENFORD
021,00,00,000001,88,24,8,RELLENO_ARTIFICIAL_BENFORD
001,02,02,000019,96,55,9,RELLENO_ARTIFICIAL_BENFORD
001,02,02,000022,84,50,8,RELLENO_ARTIFICIAL_BENFORD
