Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
01,001,01,02,000034,86,86,180,Empate Exacto (Estadísticamente Inviable)
01,001,03,01,000034,105,105,223,Empate Exacto (Estadísticamente Inviable)
01,001,03,01,000036,77,77,157,Empate Exacto (Estadísticamente Inviable)
01,001,03,03,000023,89,89,190,Empate Exacto (Estadísticamente Inviable)
01,001,04,03,000024,96,96,203,Empate Exacto (Estadísticamente Inviable)
01,001,07,04,000027,124,124,258,Empate Exacto (Estadísticamente Inviable)
01,001,08,01,000027,102,102,211,Empate Exacto (Estadísticamente Inviable)
01,001,08,02,000020,114,114,240,Empate Exacto (Estadísticamente Inviable)
01,001,08,03,000039,94,94,203,Empate Exacto (Estadísticamente Inviable)
01,001,11,02,000012,83,83,180,Empate Exacto (Estadísticamente Inviable)
01,001,13,06,000018,125,125,262,Empate Exacto (Estadísticamente Inviable)
01,001,14,02,000030,98,98,213,Empate Exacto (Estadísticamente Inviable)
01,001,14,03,000019,93,93,196,Empate Exacto (Estadísticamente Inviable)
01,001,15,01,000025,106,106,226,Empate Exacto (Estadísticamente Inviable)
01,001,15,03,000011,123,123,256,Empate Exacto (Estadísticamente Inviable)
01,001,16,03,000016,108,108,225,Empate Exacto (Estadísticamente Inviable)
01,001,17,02,000017,124,124,255,Empate Exacto (Estadísticamente Inviable)
01,001,17,03,000022,120,120,248,Empate Exacto (Estadísticamente Inviable)
01,001,17,08,000005,121,121,251,Empate Exacto (Estadísticamente Inviable)
01,001,22,02,000006,8,231,242,Polarización Extrema (>95%)
01,001,26,02,000009,102,102,213,Empate Exacto (Estadísticamente Inviable)
01,001,26,06,000013,130,83,224,Clonada (Idéntica a mesa anterior)
01,001,26,06,000015,113,113,241,Empate Exacto (Estadísticamente Inviable)
01,001,27,01,000001,9,297,310,Polarización Extrema (>95%)
01,001,27,01,000008,9,303,316,Polarización Extrema (>95%)
01,001,27,01,000009,8,318,330,Polarización Extrema (>95%)
01,001,27,01,000010,3,330,336,Polarización Extrema (>95%)
01,001,27,01,000014,12,322,336,Polarización Extrema (>95%)
01,001,27,01,000015,8,332,342,Polarización Extrema (>95%)
01,001,27,01,000016,12,312,325,Polarización Extrema (>95%)
01,001,27,01,000017,9,305,319,Polarización Extrema (>95%)
01,001,27,01,000018,10,298,309,Polarización Extrema (>95%)
01,001,27,01,000019,7,309,321,Polarización Extrema (>95%)
01,001,27,01,000020,11,301,313,Polarización Extrema (>95%)
01,001,27,01,000023,9,331,343,Polarización Extrema (>95%)
01,001,27,01,000027,7,309,320,Polarización Extrema (>95%)
01,001,27,02,000003,10,321,334,Polarización Extrema (>95%)
01,001,27,02,000005,14,314,329,Polarización Extrema (>95%)
01,001,27,02,000008,6,334,340,Polarización Extrema (>95%)
01,001,27,02,000009,14,321,337,Polarización Extrema (>95%)
01,001,27,02,000010,7,314,325,Polarización Extrema (>95%)
01,001,27,02,000011,6,308,319,Polarización Extrema (>95%)
01,001,27,02,000012,9,326,337,Polarización Extrema (>95%)
01,001,27,02,000015,10,327,338,Polarización Extrema (>95%)
01,001,27,02,000016,9,323,333,Polarización Extrema (>95%)
01,001,27,02,000017,8,314,325,Polarización Extrema (>95%)
01,001,27,02,000019,8,319,329,Polarización Extrema (>95%)
01,001,27,02,000030,13,321,334,Polarización Extrema (>95%)
01,001,27,03,000001,10,319,332,Polarización Extrema (>95%)
01,001,27,03,000004,13,323,338,Polarización Extrema (>95%)
01,001,27,03,000005,8,330,340,Polarización Extrema (>95%)
01,001,27,03,000006,12,314,329,Polarización Extrema (>95%)
01,001,27,03,000007,10,317,329,Polarización Extrema (>95%)
01,001,27,03,000009,14,318,334,Polarización Extrema (>95%)
01,001,28,02,000008,10,290,303,Polarización Extrema (>95%)
01,001,28,03,000001,8,249,260,Polarización Extrema (>95%)
01,001,28,03,000008,7,231,240,Polarización Extrema (>95%)
01,001,28,03,000009,13,277,291,Polarización Extrema (>95%)
01,001,28,03,000013,7,273,285,Polarización Extrema (>95%)
01,001,28,03,000014,11,310,324,Polarización Extrema (>95%)
01,001,28,03,000019,11,305,319,Polarización Extrema (>95%)
01,001,28,03,000020,8,306,321,Polarización Extrema (>95%)
01,001,28,03,000021,11,304,318,Polarización Extrema (>95%)
01,001,28,03,000025,6,280,288,Polarización Extrema (>95%)
01,001,28,04,000002,8,296,308,Polarización Extrema (>95%)
01,001,28,04,000005,11,254,267,Polarización Extrema (>95%)
01,001,28,04,000006,12,268,280,Polarización Extrema (>95%)
01,001,28,04,000012,12,292,307,Polarización Extrema (>95%)
01,001,28,04,000015,10,277,290,Polarización Extrema (>95%)
01,001,30,06,000014,127,127,263,Empate Exacto (Estadísticamente Inviable)
01,001,28,06,000002,10,306,319,Polarización Extrema (>95%)
01,070,02,01,000016,94,94,199,Empate Exacto (Estadísticamente Inviable)
01,070,02,01,000019,94,94,205,Empate Exacto (Estadísticamente Inviable)
01,103,01,03,000009,112,112,233,Empate Exacto (Estadísticamente Inviable)
01,106,01,01,000010,92,67,163,Clonada (Idéntica a mesa anterior)
01,117,02,01,000004,93,93,190,Empate Exacto (Estadísticamente Inviable)
01,117,02,02,000003,93,93,194,Empate Exacto (Estadísticamente Inviable)
01,121,02,01,000008,21,258,283,Clonada (Idéntica a mesa anterior)
01,121,02,01,000009,21,258,280,Clonada (Idéntica a mesa anterior)
01,121,05,01,000014,95,95,196,Empate Exacto (Estadísticamente Inviable)
01,121,05,03,000009,14,318,334,Polarización Extrema (>95%)
01,121,06,04,000015,116,116,245,Empate Exacto (Estadísticamente Inviable)
01,121,10,03,000012,27,119,149,Clonada (Idéntica a mesa anterior)
01,133,02,02,000012,49,171,232,Clonada (Idéntica a mesa anterior)
01,139,00,00,000012,10,211,222,Polarización Extrema (>95%)
01,049,99,03,000005,68,68,139,Empate Exacto (Estadísticamente Inviable)
01,151,02,01,000025,97,97,199,Empate Exacto (Estadísticamente Inviable)
01,151,04,02,000025,91,91,191,Empate Exacto (Estadísticamente Inviable)
01,151,05,03,000035,120,120,250,Empate Exacto (Estadísticamente Inviable)
01,001,99,B2,000014,92,92,197,Empate Exacto (Estadísticamente Inviable)
01,001,99,B3,000020,119,119,248,Empate Exacto (Estadísticamente Inviable)
01,013,02,02,000014,41,41,84,Empate Exacto (Estadísticamente Inviable)
01,031,02,02,000013,79,79,168,Empate Exacto (Estadísticamente Inviable)
01,037,00,00,000005,116,116,237,Empate Exacto (Estadísticamente Inviable)
01,049,02,06,000033,116,116,234,Empate Exacto (Estadísticamente Inviable)
01,049,04,03,000021,66,66,143,Empate Exacto (Estadísticamente Inviable)
01,049,08,03,000021,136,136,280,Empate Exacto (Estadísticamente Inviable)
01,088,99,05,000004,41,41,85,Empate Exacto (Estadísticamente Inviable)
01,117,99,60,000005,70,70,149,Empate Exacto (Estadísticamente Inviable)
01,121,01,03,000002,12,314,330,Polarización Extrema (>95%)
01,121,01,03,000004,14,307,322,Polarización Extrema (>95%)
01,127,99,13,000004,148,5,155,Polarización Extrema (>95%)
01,127,99,13,000006,183,2,188,Polarización Extrema (>95%)
01,078,99,04,000001,30,30,63,Empate Exacto (Estadísticamente Inviable)
01,039,99,04,000001,2,82,84,Polarización Extrema (>95%)
01,157,00,00,000036,104,104,219,Empate Exacto (Estadísticamente Inviable)
01,004,99,01,000002,9,212,223,Polarización Extrema (>95%)
01,166,01,02,000016,72,72,147,Empate Exacto (Estadísticamente Inviable)
01,166,02,04,000016,113,103,226,Clonada (Idéntica a mesa anterior)
01,168,00,00,000013,83,83,171,Empate Exacto (Estadísticamente Inviable)
01,184,00,00,000006,212,8,220,Polarización Extrema (>95%)
01,190,00,00,000004,7,187,195,Polarización Extrema (>95%)
01,191,00,01,000042,57,57,114,Empate Exacto (Estadísticamente Inviable)
01,192,00,01,000040,74,74,153,Empate Exacto (Estadísticamente Inviable)
01,205,01,02,000006,65,65,140,Empate Exacto (Estadísticamente Inviable)
01,205,02,03,000015,34,34,70,Empate Exacto (Estadísticamente Inviable)
01,208,00,01,000002,83,83,173,Empate Exacto (Estadísticamente Inviable)
01,214,03,02,000002,60,240,304,Clonada (Idéntica a mesa anterior)
01,184,99,03,000001,246,5,252,Polarización Extrema (>95%)
01,231,00,00,000021,80,80,162,Empate Exacto (Estadísticamente Inviable)
01,256,01,03,000003,10,284,298,Polarización Extrema (>95%)
01,256,02,01,000011,8,242,253,Polarización Extrema (>95%)
01,259,01,02,000012,82,82,168,Empate Exacto (Estadísticamente Inviable)
01,259,02,02,000008,87,43,135,Clonada (Idéntica a mesa anterior)
01,262,02,01,000021,31,31,64,Empate Exacto (Estadísticamente Inviable)
01,265,00,00,000020,81,81,171,Empate Exacto (Estadísticamente Inviable)
01,283,01,01,000005,27,207,239,Clonada (Idéntica a mesa anterior)
01,291,99,04,000002,59,3,62,Polarización Extrema (>95%)
01,291,99,05,000001,208,8,217,Polarización Extrema (>95%)
01,291,99,05,000002,179,5,185,Polarización Extrema (>95%)
01,262,99,02,000001,2,96,98,Polarización Extrema (>95%)
01,262,99,05,000001,7,261,271,Polarización Extrema (>95%)
01,262,99,13,000001,2,90,94,Polarización Extrema (>95%)
01,283,99,17,000001,106,3,111,Polarización Extrema (>95%)
01,291,99,20,000001,162,5,168,Polarización Extrema (>95%)
01,262,99,04,000001,4,128,133,Polarización Extrema (>95%)
01,184,99,01,000001,85,3,88,Polarización Extrema (>95%)
