Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
03,001,37,01,000013,135,135,272,Empate Exacto (Estadísticamente Inviable)
03,013,01,02,000013,115,115,238,Empate Exacto (Estadísticamente Inviable)
03,019,00,00,000024,71,71,144,Empate Exacto (Estadísticamente Inviable)
03,019,00,00,000026,39,39,80,Empate Exacto (Estadísticamente Inviable)
03,019,99,05,000004,87,87,176,Empate Exacto (Estadísticamente Inviable)
03,040,00,00,000012,80,80,161,Empate Exacto (Estadísticamente Inviable)
03,055,00,00,000022,76,96,175,Clonada (Idéntica a mesa anterior)
03,001,23,03,000013,74,74,148,Empate Exacto (Estadísticamente Inviable)
03,001,27,03,000019,44,44,90,Empate Exacto (Estadísticamente Inviable)
03,001,29,04,000005,73,73,146,Empate Exacto (Estadísticamente Inviable)
03,001,29,05,000021,113,113,228,Empate Exacto (Estadísticamente Inviable)
03,001,30,03,000001,52,52,104,Empate Exacto (Estadísticamente Inviable)
03,001,30,03,000012,101,101,204,Empate Exacto (Estadísticamente Inviable)
03,001,31,05,000009,33,33,66,Empate Exacto (Estadísticamente Inviable)
03,001,31,05,000029,53,53,107,Empate Exacto (Estadísticamente Inviable)
03,001,32,04,000004,113,113,235,Empate Exacto (Estadísticamente Inviable)
03,001,33,06,000006,81,159,243,Clonada (Idéntica a mesa anterior)
03,001,03,01,000008,110,110,228,Empate Exacto (Estadísticamente Inviable)
03,001,03,04,000002,138,138,278,Empate Exacto (Estadísticamente Inviable)
03,001,07,01,000007,64,64,128,Empate Exacto (Estadísticamente Inviable)
03,001,21,01,000006,86,86,174,Empate Exacto (Estadísticamente Inviable)
