Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
12,001,01,01,000001,82,82,165,Empate Exacto (Estadísticamente Inviable)
12,001,01,01,000026,79,79,160,Empate Exacto (Estadísticamente Inviable)
12,001,01,01,000030,36,36,72,Empate Exacto (Estadísticamente Inviable)
12,001,01,05,000009,102,102,211,Empate Exacto (Estadísticamente Inviable)
12,001,04,04,000001,131,131,266,Empate Exacto (Estadísticamente Inviable)
12,001,04,04,000004,139,139,283,Empate Exacto (Estadísticamente Inviable)
12,001,05,01,000001,116,116,237,Empate Exacto (Estadísticamente Inviable)
12,001,05,03,000003,141,141,286,Empate Exacto (Estadísticamente Inviable)
12,001,05,07,000014,112,112,229,Empate Exacto (Estadísticamente Inviable)
12,001,99,32,000001,178,8,187,Polarización Extrema (>95%)
12,075,01,04,000014,84,84,174,Empate Exacto (Estadísticamente Inviable)
12,075,02,04,000018,101,101,207,Empate Exacto (Estadísticamente Inviable)
12,150,02,01,000005,110,110,226,Empate Exacto (Estadísticamente Inviable)
12,150,99,91,000001,268,12,282,Polarización Extrema (>95%)
12,150,99,91,000002,268,5,274,Polarización Extrema (>95%)
12,150,99,91,000003,262,3,265,Polarización Extrema (>95%)
12,150,99,91,000004,196,2,198,Polarización Extrema (>95%)
12,170,99,10,000002,128,128,256,Empate Exacto (Estadísticamente Inviable)
12,170,99,10,000004,130,130,263,Empate Exacto (Estadísticamente Inviable)
12,001,99,53,000004,167,3,170,Polarización Extrema (>95%)
12,001,99,99,000001,204,1,207,Polarización Extrema (>95%)
12,225,02,01,000018,95,95,194,Empate Exacto (Estadísticamente Inviable)
12,600,00,00,000002,118,118,237,Empate Exacto (Estadísticamente Inviable)
12,625,00,00,000018,108,108,221,Empate Exacto (Estadísticamente Inviable)
12,650,00,00,000027,75,94,173,Clonada (Idéntica a mesa anterior)
12,720,00,00,000037,83,83,168,Empate Exacto (Estadísticamente Inviable)
12,720,99,80,000001,91,2,95,Polarización Extrema (>95%)
12,720,99,80,000003,183,6,191,Polarización Extrema (>95%)
12,720,99,80,000004,180,4,185,Polarización Extrema (>95%)
12,720,99,80,000005,173,5,180,Polarización Extrema (>95%)
12,720,99,80,000006,158,2,164,Polarización Extrema (>95%)
12,720,99,80,000007,172,3,179,Polarización Extrema (>95%)
12,825,00,00,000001,103,103,206,Empate Exacto (Estadísticamente Inviable)
12,375,99,10,000002,107,107,216,Empate Exacto (Estadísticamente Inviable)
12,625,99,95,000001,137,3,140,Polarización Extrema (>95%)
12,750,99,23,000001,4,80,84,Polarización Extrema (>95%)
12,720,99,86,000001,259,1,265,Polarización Extrema (>95%)
