Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
13,001,02,03,000009,128,128,260,Empate Exacto (Estadísticamente Inviable)
13,001,02,03,000011,139,139,279,Empate Exacto (Estadísticamente Inviable)
13,001,05,01,000005,112,112,228,Empate Exacto (Estadísticamente Inviable)
13,001,99,07,000007,83,83,166,Empate Exacto (Estadísticamente Inviable)
13,001,99,17,000003,93,93,192,Empate Exacto (Estadísticamente Inviable)
13,004,01,01,000010,96,96,195,Empate Exacto (Estadísticamente Inviable)
13,004,01,04,000002,74,74,152,Empate Exacto (Estadísticamente Inviable)
13,004,02,01,000014,61,61,128,Empate Exacto (Estadísticamente Inviable)
13,019,02,01,000015,98,98,199,Empate Exacto (Estadísticamente Inviable)
13,019,99,09,000002,29,29,59,Empate Exacto (Estadísticamente Inviable)
13,022,99,08,000006,73,73,147,Empate Exacto (Estadísticamente Inviable)
13,022,99,27,000004,47,47,95,Empate Exacto (Estadísticamente Inviable)
13,023,99,04,000001,124,124,250,Empate Exacto (Estadísticamente Inviable)
13,025,99,12,000002,65,2,68,Polarización Extrema (>95%)
13,028,01,02,000023,91,91,190,Empate Exacto (Estadísticamente Inviable)
13,028,02,02,000004,123,123,248,Empate Exacto (Estadísticamente Inviable)
13,033,00,00,000018,72,72,146,Empate Exacto (Estadísticamente Inviable)
13,037,02,04,000002,146,146,297,Empate Exacto (Estadísticamente Inviable)
13,037,99,29,000004,116,116,237,Empate Exacto (Estadísticamente Inviable)
13,061,00,01,000031,65,65,134,Empate Exacto (Estadísticamente Inviable)
13,061,00,01,000039,73,73,147,Empate Exacto (Estadísticamente Inviable)
13,004,99,23,000004,34,34,68,Empate Exacto (Estadísticamente Inviable)
13,031,99,10,000002,97,97,201,Empate Exacto (Estadísticamente Inviable)
13,009,99,70,000003,78,78,156,Empate Exacto (Estadísticamente Inviable)
13,022,99,26,000003,61,103,166,Clonada (Idéntica a mesa anterior)
13,058,99,41,000001,170,0,170,Polarización Extrema (>95%)
13,058,99,41,000002,79,1,80,Polarización Extrema (>95%)
13,037,99,49,000001,123,123,247,Empate Exacto (Estadísticamente Inviable)
13,058,99,43,000001,261,0,261,Polarización Extrema (>95%)
