Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
23,001,04,04,000020,215,7,223,Polarización Extrema (>95%)
23,016,00,01,000024,194,5,203,Polarización Extrema (>95%)
23,016,00,02,000003,186,4,192,Polarización Extrema (>95%)
23,016,00,02,000008,215,5,224,Polarización Extrema (>95%)
23,016,99,70,000001,220,2,222,Polarización Extrema (>95%)
23,016,99,70,000002,127,0,127,Polarización Extrema (>95%)
23,037,99,13,000001,251,3,258,Polarización Extrema (>95%)
23,037,99,13,000002,269,13,282,Polarización Extrema (>95%)
23,037,99,13,000003,311,10,325,Polarización Extrema (>95%)
23,037,99,13,000006,249,11,261,Polarización Extrema (>95%)
23,037,99,13,000008,239,10,249,Polarización Extrema (>95%)
23,039,99,08,000001,133,1,136,Polarización Extrema (>95%)
23,039,99,60,000002,150,3,155,Polarización Extrema (>95%)
23,039,99,80,000001,262,0,262,Polarización Extrema (>95%)
23,039,99,80,000002,277,0,277,Polarización Extrema (>95%)
23,039,99,80,000003,271,0,271,Polarización Extrema (>95%)
23,039,99,80,000004,271,0,271,Clonada (Idéntica a mesa anterior) | Polarización Extrema (>95%)
23,039,99,80,000005,262,0,262,Polarización Extrema (>95%)
23,039,99,80,000006,64,0,64,Polarización Extrema (>95%)
23,040,99,13,000001,246,0,248,Polarización Extrema (>95%)
23,040,99,13,000002,208,2,214,Polarización Extrema (>95%)
23,040,99,13,000003,264,1,267,Polarización Extrema (>95%)
23,041,00,00,000013,197,7,205,Polarización Extrema (>95%)
23,041,99,16,000001,207,5,212,Polarización Extrema (>95%)
23,041,99,16,000002,263,3,266,Polarización Extrema (>95%)
23,041,99,16,000003,130,1,133,Polarización Extrema (>95%)
23,047,00,00,000004,182,3,186,Polarización Extrema (>95%)
23,047,00,00,000008,198,5,205,Polarización Extrema (>95%)
23,047,00,00,000009,193,6,201,Polarización Extrema (>95%)
23,047,00,00,000010,198,2,204,Polarización Extrema (>95%)
23,047,00,00,000012,184,6,191,Polarización Extrema (>95%)
23,047,00,00,000013,186,5,192,Polarización Extrema (>95%)
23,047,00,00,000015,187,2,196,Polarización Extrema (>95%)
23,047,00,00,000016,176,5,183,Polarización Extrema (>95%)
23,047,99,37,000001,118,0,118,Polarización Extrema (>95%)
23,073,99,05,000002,291,0,293,Polarización Extrema (>95%)
23,073,99,05,000003,295,7,305,Polarización Extrema (>95%)
23,080,99,21,000001,264,1,268,Polarización Extrema (>95%)
23,080,99,21,000002,175,4,180,Polarización Extrema (>95%)
23,088,99,02,000001,154,0,154,Polarización Extrema (>95%)
23,088,99,05,000001,258,2,260,Polarización Extrema (>95%)
23,088,99,13,000001,144,5,149,Polarización Extrema (>95%)
23,088,99,25,000001,95,0,95,Polarización Extrema (>95%)
23,094,00,00,000003,217,3,224,Polarización Extrema (>95%)
23,094,00,00,000004,195,4,199,Polarización Extrema (>95%)
23,094,00,00,000006,194,1,195,Polarización Extrema (>95%)
23,094,00,00,000007,202,3,205,Polarización Extrema (>95%)
23,094,00,00,000008,209,2,212,Polarización Extrema (>95%)
23,094,00,00,000009,164,3,168,Polarización Extrema (>95%)
23,094,00,00,000010,170,3,175,Polarización Extrema (>95%)
23,094,00,00,000011,176,1,177,Polarización Extrema (>95%)
23,094,00,00,000012,163,2,167,Polarización Extrema (>95%)
23,094,00,00,000013,50,0,50,Polarización Extrema (>95%)
23,094,99,04,000001,170,0,170,Polarización Extrema (>95%)
23,094,99,21,000001,185,2,189,Polarización Extrema (>95%)
23,094,99,21,000002,91,0,91,Polarización Extrema (>95%)
23,095,00,00,000005,183,7,191,Polarización Extrema (>95%)
23,095,00,00,000020,162,6,170,Polarización Extrema (>95%)
23,095,00,00,000023,190,3,194,Polarización Extrema (>95%)
23,095,00,00,000024,186,6,193,Polarización Extrema (>95%)
23,095,00,00,000029,185,7,192,Polarización Extrema (>95%)
23,095,00,00,000030,196,8,204,Polarización Extrema (>95%)
23,095,00,00,000031,182,7,190,Polarización Extrema (>95%)
23,095,00,00,000033,170,2,173,Polarización Extrema (>95%)
23,095,00,00,000034,168,6,176,Polarización Extrema (>95%)
23,095,99,28,000001,215,4,220,Polarización Extrema (>95%)
23,095,99,28,000002,187,5,192,Polarización Extrema (>95%)
