Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
29,064,90,01,000004,109,109,223,Empate Exacto (Estadísticamente Inviable)
29,064,90,01,000008,126,126,260,Empate Exacto (Estadísticamente Inviable)
29,079,99,08,000006,29,29,62,Empate Exacto (Estadísticamente Inviable)
29,085,99,07,000003,47,47,95,Empate Exacto (Estadísticamente Inviable)
29,094,00,00,000003,141,141,283,Empate Exacto (Estadísticamente Inviable)
29,080,00,00,000010,41,41,83,Empate Exacto (Estadísticamente Inviable)
29,001,02,02,000013,94,94,197,Empate Exacto (Estadísticamente Inviable)
29,001,02,04,000017,113,113,231,Empate Exacto (Estadísticamente Inviable)
29,001,08,08,000032,144,144,300,Empate Exacto (Estadísticamente Inviable)
29,001,08,09,000009,104,188,301,Clonada (Idéntica a mesa anterior)
29,001,10,04,000025,84,107,199,Clonada (Idéntica a mesa anterior)
29,040,01,01,000010,61,62,124,Clonada (Idéntica a mesa anterior)
29,049,00,00,000004,112,112,231,Empate Exacto (Estadísticamente Inviable)
29,067,99,03,000001,86,86,174,Empate Exacto (Estadísticamente Inviable)
29,019,99,08,000001,9,198,208,Polarización Extrema (>95%)
29,019,99,09,000001,8,234,244,Polarización Extrema (>95%)
