Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
31,001,03,05,000029,117,117,240,Empate Exacto (Estadísticamente Inviable)
31,001,06,01,000016,115,115,237,Empate Exacto (Estadísticamente Inviable)
31,001,06,04,000014,127,127,260,Empate Exacto (Estadísticamente Inviable)
31,034,01,01,000002,97,97,202,Empate Exacto (Estadísticamente Inviable)
31,037,99,53,000002,113,113,231,Empate Exacto (Estadísticamente Inviable)
31,055,01,01,000023,80,3,84,Polarización Extrema (>95%)
31,055,99,25,000001,287,1,291,Polarización Extrema (>95%)
31,055,99,25,000002,140,1,141,Polarización Extrema (>95%)
31,055,99,26,000001,103,0,104,Polarización Extrema (>95%)
31,055,99,32,000001,89,3,92,Polarización Extrema (>95%)
31,064,03,04,000001,79,79,163,Empate Exacto (Estadísticamente Inviable)
31,064,04,04,000004,111,111,229,Empate Exacto (Estadísticamente Inviable)
31,064,04,04,000008,112,112,227,Empate Exacto (Estadísticamente Inviable)
31,001,08,02,000025,182,37,223,Clonada (Idéntica a mesa anterior)
31,001,11,02,000021,126,126,258,Empate Exacto (Estadísticamente Inviable)
31,001,13,02,000011,107,107,222,Empate Exacto (Estadísticamente Inviable)
31,001,15,01,000003,125,125,252,Empate Exacto (Estadísticamente Inviable)
31,001,15,02,000020,112,112,227,Empate Exacto (Estadísticamente Inviable)
31,001,15,03,000006,125,125,257,Empate Exacto (Estadísticamente Inviable)
31,001,16,02,000009,128,128,263,Empate Exacto (Estadísticamente Inviable)
31,001,16,03,000001,96,96,198,Empate Exacto (Estadísticamente Inviable)
31,001,17,02,000006,102,102,208,Empate Exacto (Estadísticamente Inviable)
31,001,19,01,000021,178,7,187,Polarización Extrema (>95%)
31,001,22,05,000040,172,6,181,Polarización Extrema (>95%)
31,001,23,01,000015,104,104,215,Empate Exacto (Estadísticamente Inviable)
31,037,99,09,000004,120,120,244,Empate Exacto (Estadísticamente Inviable)
31,055,99,31,000001,287,0,288,Polarización Extrema (>95%)
31,055,99,31,000002,65,0,65,Polarización Extrema (>95%)
31,055,99,33,000001,81,2,83,Polarización Extrema (>95%)
31,055,99,21,000003,58,2,60,Polarización Extrema (>95%)
31,040,99,25,000001,112,112,229,Empate Exacto (Estadísticamente Inviable)
31,001,23,03,000005,140,72,219,Clonada (Idéntica a mesa anterior)
31,001,27,02,000016,120,120,246,Empate Exacto (Estadísticamente Inviable)
31,001,29,01,000027,40,40,80,Empate Exacto (Estadísticamente Inviable)
31,055,99,03,000001,267,0,268,Polarización Extrema (>95%)
31,055,99,39,000001,107,0,107,Polarización Extrema (>95%)
31,001,32,06,000021,179,5,185,Polarización Extrema (>95%)
31,001,99,14,000030,139,139,282,Empate Exacto (Estadísticamente Inviable)
31,004,00,00,000027,80,80,169,Empate Exacto (Estadísticamente Inviable)
31,019,02,01,000034,119,4,124,Polarización Extrema (>95%)
31,019,02,02,000009,113,5,118,Polarización Extrema (>95%)
31,019,02,04,000004,164,4,170,Polarización Extrema (>95%)
31,019,02,04,000010,163,5,170,Polarización Extrema (>95%)
31,019,02,08,000015,167,5,173,Polarización Extrema (>95%)
31,019,02,08,000019,174,5,180,Polarización Extrema (>95%)
31,019,06,08,000003,182,7,190,Polarización Extrema (>95%)
31,019,06,08,000004,183,5,192,Polarización Extrema (>95%)
31,019,99,01,000001,165,1,167,Polarización Extrema (>95%)
31,019,99,01,000002,199,3,203,Polarización Extrema (>95%)
31,019,99,01,000004,220,0,220,Polarización Extrema (>95%)
31,019,99,01,000005,202,1,204,Polarización Extrema (>95%)
31,019,99,01,000006,201,2,205,Polarización Extrema (>95%)
31,019,99,52,000001,183,1,188,Polarización Extrema (>95%)
31,019,99,55,000001,178,5,183,Polarización Extrema (>95%)
31,019,99,70,000001,145,1,146,Polarización Extrema (>95%)
31,019,99,70,000002,200,0,201,Polarización Extrema (>95%)
31,019,99,73,000002,139,5,145,Polarización Extrema (>95%)
31,019,99,73,000003,222,3,226,Polarización Extrema (>95%)
31,019,99,73,000004,246,4,250,Polarización Extrema (>95%)
31,019,99,73,000005,200,1,203,Polarización Extrema (>95%)
31,019,99,73,000006,103,0,103,Polarización Extrema (>95%)
31,019,99,74,000001,193,1,194,Polarización Extrema (>95%)
31,019,99,74,000002,163,0,164,Polarización Extrema (>95%)
31,019,99,79,000001,145,0,145,Polarización Extrema (>95%)
31,019,99,79,000002,260,3,266,Polarización Extrema (>95%)
31,019,99,82,000001,141,1,144,Polarización Extrema (>95%)
31,022,04,02,000007,111,111,225,Empate Exacto (Estadísticamente Inviable)
31,022,04,03,000007,123,123,250,Empate Exacto (Estadísticamente Inviable)
31,019,99,19,000001,67,0,67,Polarización Extrema (>95%)
31,019,99,56,000001,167,0,170,Polarización Extrema (>95%)
31,019,99,56,000002,133,3,137,Polarización Extrema (>95%)
31,019,99,61,000001,174,2,178,Polarización Extrema (>95%)
31,019,99,94,000001,174,8,182,Polarización Extrema (>95%)
31,019,99,94,000002,116,0,116,Polarización Extrema (>95%)
31,019,99,07,000001,194,0,194,Polarización Extrema (>95%)
31,019,99,35,000001,320,14,334,Polarización Extrema (>95%)
31,019,99,46,000001,200,0,200,Polarización Extrema (>95%)
31,019,99,76,000001,201,0,202,Polarización Extrema (>95%)
31,019,99,80,000001,201,0,201,Polarización Extrema (>95%)
31,019,99,80,000002,295,0,295,Polarización Extrema (>95%)
31,019,99,80,000003,63,0,63,Polarización Extrema (>95%)
31,019,99,85,000001,189,0,189,Polarización Extrema (>95%)
31,019,03,07,000006,129,4,134,Polarización Extrema (>95%)
31,019,03,07,000007,150,2,155,Polarización Extrema (>95%)
31,019,99,40,000001,151,1,152,Polarización Extrema (>95%)
31,019,99,54,000001,87,2,89,Polarización Extrema (>95%)
31,079,09,03,000002,111,111,229,Empate Exacto (Estadísticamente Inviable)
31,088,00,00,000013,110,110,223,Empate Exacto (Estadísticamente Inviable)
31,106,05,03,000001,143,143,293,Empate Exacto (Estadísticamente Inviable)
31,106,06,02,000011,115,115,235,Empate Exacto (Estadísticamente Inviable)
31,106,06,02,000016,113,111,230,Clonada (Idéntica a mesa anterior)
31,106,08,04,000003,111,111,228,Empate Exacto (Estadísticamente Inviable)
31,079,01,06,000009,161,5,166,Polarización Extrema (>95%)
31,079,99,08,000001,140,140,286,Empate Exacto (Estadísticamente Inviable)
31,106,99,02,000005,118,118,241,Empate Exacto (Estadísticamente Inviable)
31,019,99,64,000001,202,0,205,Polarización Extrema (>95%)
31,019,99,67,000001,278,0,278,Polarización Extrema (>95%)
31,019,99,67,000002,240,0,240,Polarización Extrema (>95%)
31,019,99,49,000001,214,0,214,Polarización Extrema (>95%)
31,019,99,49,000002,112,0,112,Polarización Extrema (>95%)
31,019,99,58,000001,267,0,267,Polarización Extrema (>95%)
31,019,99,58,000002,53,0,53,Polarización Extrema (>95%)
31,019,99,51,000001,142,2,147,Polarización Extrema (>95%)
31,019,99,34,000001,150,1,151,Polarización Extrema (>95%)
31,019,99,81,000001,102,2,107,Polarización Extrema (>95%)
31,019,99,02,000001,224,0,224,Polarización Extrema (>95%)
31,019,99,25,000001,127,3,130,Polarización Extrema (>95%)
31,019,99,43,000001,106,0,106,Polarización Extrema (>95%)
