Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
88,465,05,02,000020,52,52,110,Empate Exacto (Estadísticamente Inviable)
88,815,05,04,000019,1,17,18,Clonada (Idéntica a mesa anterior)
88,815,65,02,000012,3,62,65,Polarización Extrema (>95%)
88,815,65,02,000032,1,50,51,Polarización Extrema (>95%)
88,815,35,06,000007,27,27,56,Empate Exacto (Estadísticamente Inviable)
88,805,05,85,000001,57,57,116,Empate Exacto (Estadísticamente Inviable)
88,155,05,02,000006,47,47,97,Empate Exacto (Estadísticamente Inviable)
88,305,05,86,000014,122,122,252,Empate Exacto (Estadísticamente Inviable)
88,355,03,02,000012,50,50,102,Empate Exacto (Estadísticamente Inviable)
88,355,50,02,000002,35,35,73,Empate Exacto (Estadísticamente Inviable)
88,355,50,02,000004,33,33,66,Empate Exacto (Estadísticamente Inviable)
88,355,65,02,000012,52,52,105,Empate Exacto (Estadísticamente Inviable)
88,355,70,02,000011,9,6,15,Clonada (Idéntica a mesa anterior)
88,360,10,02,000014,47,47,95,Empate Exacto (Estadísticamente Inviable)
88,360,40,02,000008,3,60,63,Polarización Extrema (>95%)
88,360,40,05,000006,6,138,144,Polarización Extrema (>95%)
88,360,40,05,000009,7,178,186,Polarización Extrema (>95%)
88,360,40,05,000010,8,173,181,Polarización Extrema (>95%)
88,360,40,05,000013,6,220,228,Polarización Extrema (>95%)
88,360,40,05,000014,6,220,227,Clonada (Idéntica a mesa anterior) | Polarización Extrema (>95%)
88,360,40,08,000006,12,257,270,Polarización Extrema (>95%)
88,360,40,08,000009,9,277,289,Polarización Extrema (>95%)
88,360,40,08,000013,3,302,310,Polarización Extrema (>95%)
88,360,40,08,000014,11,285,297,Polarización Extrema (>95%)
88,360,40,08,000015,11,281,294,Polarización Extrema (>95%)
88,360,40,08,000028,9,234,244,Polarización Extrema (>95%)
88,360,40,81,000003,19,445,466,Polarización Extrema (>95%)
88,360,40,81,000004,15,417,433,Polarización Extrema (>95%)
88,360,40,81,000010,16,350,367,Polarización Extrema (>95%)
88,360,40,81,000011,13,416,430,Polarización Extrema (>95%)
88,360,40,81,000013,12,480,492,Polarización Extrema (>95%)
88,360,40,82,000003,11,407,420,Polarización Extrema (>95%)
88,360,40,82,000004,21,443,466,Polarización Extrema (>95%)
88,360,40,82,000009,9,354,363,Polarización Extrema (>95%)
88,360,40,82,000011,15,517,534,Polarización Extrema (>95%)
88,360,40,82,000014,14,464,481,Polarización Extrema (>95%)
88,360,40,83,000009,4,265,270,Polarización Extrema (>95%)
88,360,40,83,000012,23,540,565,Polarización Extrema (>95%)
88,360,40,83,000013,11,360,375,Polarización Extrema (>95%)
88,360,40,83,000014,5,325,330,Polarización Extrema (>95%)
88,360,40,84,000009,5,247,253,Polarización Extrema (>95%)
88,360,40,84,000014,8,281,292,Polarización Extrema (>95%)
88,360,40,85,000011,21,427,449,Polarización Extrema (>95%)
88,360,40,85,000012,20,606,633,Polarización Extrema (>95%)
88,360,40,86,000011,13,298,313,Polarización Extrema (>95%)
88,360,40,86,000015,15,393,411,Polarización Extrema (>95%)
88,360,40,86,000016,22,454,476,Polarización Extrema (>95%)
88,360,55,02,000010,48,48,104,Empate Exacto (Estadísticamente Inviable)
88,360,55,07,000034,46,46,93,Empate Exacto (Estadísticamente Inviable)
88,360,59,02,000016,1,84,85,Polarización Extrema (>95%)
88,360,59,05,000005,18,359,377,Polarización Extrema (>95%)
88,165,03,86,000001,56,56,117,Empate Exacto (Estadísticamente Inviable)
88,360,60,04,000004,156,156,315,Empate Exacto (Estadísticamente Inviable)
88,355,50,83,000001,237,237,487,Empate Exacto (Estadísticamente Inviable)
