dane_code,orig_has_text,alt_has_text,orig_xref_corrupt,alt_xref_corrupt,orig_image_bytes,alt_image_bytes,qr_match,qr_payload_count
01_001_29_06_013.pdf,False,False,True,True,49858,51495,True,2
01_001_29_06_004.pdf,False,False,True,True,48736,51051,True,2
01_001_29_06_002.pdf,False,False,True,True,51823,51574,True,2
01_001_29_06_003.pdf,False,False,True,True,49492,51632,True,2
01_001_29_06_015.pdf,False,False,True,True,51662,51735,True,2
01_001_29_06_014.pdf,False,False,True,True,54768,56858,True,2
01_001_29_06_011.pdf,False,False,True,True,49792,49150,True,2
01_001_29_06_005.pdf,False,False,True,True,52734,53912,True,2
01_001_29_06_016.pdf,False,False,True,True,52062,52876,True,2
01_001_29_06_017.pdf,False,False,True,True,52477,54348,True,2
01_001_99_B4_015.pdf,False,False,True,True,60122,44234,False,1
01_001_25_03_018.pdf,False,False,True,True,69903,48664,False,1
01_001_10_01_038.pdf,False,False,True,True,69521,51020,False,1
01_001_99_04_002.pdf,False,False,True,True,72640,50991,False,1
01_001_20_03_004.pdf,False,False,True,True,69972,49675,False,1
01_001_29_06_020.pdf,False,False,True,True,50518,52044,True,2
01_001_11_06_002.pdf,False,False,True,True,68983,48705,False,1
01_001_28_03_005.pdf,False,False,True,True,50410,50410,True,2
01_001_16_04_004.pdf,False,False,True,True,51772,54037,True,2
01_001_16_04_002.pdf,False,False,True,True,49759,51486,True,2
01_001_31_06_001.pdf,False,False,True,True,51355,49983,True,2
01_001_16_06_001.pdf,False,False,True,True,71014,50968,False,1
01_001_07_02_019.pdf,False,False,True,True,67318,50855,False,1
01_001_90_01_001.pdf,False,False,True,True,48908,51133,True,2
01_001_90_01_002.pdf,False,False,True,True,50248,52904,True,2
01_001_90_01_004.pdf,False,False,True,True,49157,50049,True,2
01_001_90_01_003.pdf,False,False,True,True,49641,51365,True,2
01_001_90_01_008.pdf,False,False,True,True,46987,49478,True,2
01_001_90_01_007.pdf,False,False,True,True,48242,52110,True,2
01_001_90_01_005.pdf,False,False,True,True,50326,51549,True,2
01_001_90_01_006.pdf,False,False,True,True,53770,55432,True,2
01_001_90_01_009.pdf,False,False,True,True,50745,52937,True,2
01_001_90_01_012.pdf,False,False,True,True,50119,51136,True,2
01_001_90_01_011.pdf,False,False,True,True,50685,52614,True,2
01_001_90_01_010.pdf,False,False,True,True,56950,58871,True,2
01_001_90_01_015.pdf,False,False,True,True,49543,51119,True,2
01_001_90_01_014.pdf,False,False,True,True,50693,52540,True,2
01_001_90_01_013.pdf,False,False,True,True,49899,51040,True,2
01_001_90_01_016.pdf,False,False,True,True,50574,51714,True,2
01_001_90_01_017.pdf,False,False,True,True,51927,54410,True,2
01_001_90_01_018.pdf,False,False,True,True,49154,49619,True,2
01_001_90_01_019.pdf,False,False,True,True,52472,54605,True,2
01_001_90_01_020.pdf,False,False,True,True,50656,51564,True,2
01_001_90_01_021.pdf,False,False,True,True,54888,53639,True,2
01_001_90_01_024.pdf,False,False,True,True,50874,52663,True,2
01_001_90_01_023.pdf,False,False,True,True,52858,53674,True,2
01_001_90_01_022.pdf,False,False,True,True,51579,51950,True,2
01_001_90_01_025.pdf,False,False,True,True,59349,60467,True,2
01_001_90_01_027.pdf,False,False,True,True,48981,52066,True,2
01_001_90_01_026.pdf,False,False,True,True,47896,52464,True,2
01_001_90_01_028.pdf,False,False,True,True,51323,53903,True,2
01_001_90_01_029.pdf,False,False,True,True,49248,52145,True,2
01_001_90_01_032.pdf,False,False,True,True,48736,50083,True,2
01_001_90_01_030.pdf,False,False,True,True,49342,52028,True,2
01_001_90_01_031.pdf,False,False,True,True,51903,56039,True,2
01_001_90_01_033.pdf,False,False,True,True,49797,51353,True,2
01_001_90_01_035.pdf,False,False,True,True,49628,50993,True,2
01_001_90_01_034.pdf,False,False,True,True,49328,52012,True,2
01_001_90_01_039.pdf,False,False,True,True,49923,50863,True,2
01_001_90_01_036.pdf,False,False,True,True,48895,51410,True,2
01_001_90_01_038.pdf,False,False,True,True,51517,51081,True,2
01_001_90_01_037.pdf,False,False,True,True,51535,52008,True,2
01_001_90_01_040.pdf,False,False,True,True,51729,51173,True,2
01_001_90_01_041.pdf,False,False,True,True,50063,50169,True,2
01_001_90_01_042.pdf,False,False,True,True,52955,54999,True,2
01_001_90_01_044.pdf,False,False,True,True,50590,50260,True,2
01_001_90_01_045.pdf,False,False,True,True,50908,51231,True,2
01_001_90_01_043.pdf,False,False,True,True,51942,52400,True,2
01_001_90_01_047.pdf,False,False,True,True,48392,52012,True,2
01_001_90_01_046.pdf,False,False,True,True,48886,50322,True,2
01_001_90_01_048.pdf,False,False,True,True,50928,53558,True,2
01_001_90_01_049.pdf,False,False,True,True,69499,50619,False,1
01_001_90_01_051.pdf,False,False,True,True,49807,50016,True,2
01_001_90_01_055.pdf,False,False,True,True,49196,50296,True,2
01_001_90_01_052.pdf,False,False,True,True,52705,53142,True,2
01_001_90_01_053.pdf,False,False,True,True,48826,50708,True,2
01_001_90_01_054.pdf,False,False,True,True,49376,50034,True,2
01_001_90_01_050.pdf,False,False,True,True,54450,53954,True,2
01_001_90_01_056.pdf,False,False,True,True,49801,51949,True,2
01_001_90_01_057.pdf,False,False,True,True,51517,52207,True,2
01_001_90_01_058.pdf,False,False,True,True,50726,52639,True,2
01_001_90_01_059.pdf,False,False,True,True,51026,51262,True,2
01_001_90_01_060.pdf,False,False,True,True,51220,51657,True,2
01_121_02_01_033.pdf,False,False,True,True,51101,49659,True,2
01_121_02_01_036.pdf,False,False,True,True,49830,49393,True,2
01_121_02_01_032.pdf,False,False,True,True,48288,50623,True,2
01_121_02_02_011.pdf,False,False,True,True,51399,50747,True,2
01_121_08_03_019.pdf,False,False,True,True,50756,51499,False,2
01_121_04_01_001.pdf,False,False,True,True,49801,48401,True,2
01_121_04_01_002.pdf,False,False,True,True,50078,47352,True,2
01_121_04_01_003.pdf,False,False,True,True,48375,47264,True,2
01_121_09_03_002.pdf,False,False,True,True,52876,51319,True,2
01_121_03_01_004.pdf,False,False,True,True,62827,51227,False,0
01_121_03_01_025.pdf,False,False,True,True,70416,51025,False,1
01_121_01_01_034.pdf,False,False,True,True,68951,47402,False,1
01_121_01_03_005.pdf,False,False,True,True,69833,49004,False,1
01_031_99_15_001.pdf,False,False,True,True,50955,50955,True,2
01_031_99_04_001.pdf,False,False,True,True,422743,49821,False,0
01_031_01_02_003.pdf,False,False,True,True,299083,68327,False,1
01_031_99_04_002.pdf,False,False,True,True,702747,48868,False,1
01_031_99_09_002.pdf,False,False,True,True,918363,50738,False,1
01_031_01_02_004.pdf,False,False,True,True,435946,53039,False,1
01_031_99_09_001.pdf,False,False,True,True,973598,56710,False,1
01_031_01_02_005.pdf,False,False,True,True,434405,52842,False,1
01_031_01_02_008.pdf,False,False,True,True,369048,50104,False,0
