Departamento,Cod_Dep,Cod_Mun,Mesa,Archivo,Blanco_Puro_Pct,Diagnostico
AMAZONAS,60,001,2,E14_PRE_60_001_002_00_03_002_6948_Mesa_2.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,3,E14_PRE_60_001_001_00_01_003_6947_Mesa_3.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,3,E14_PRE_60_001_002_00_01_003_6948_Mesa_3.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,12,E14_PRE_60_001_001_00_01_012_6947_Mesa_12.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,11,E14_PRE_60_001_002_00_02_011_6949_Mesa_11.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,12,E14_PRE_60_001_002_00_02_012_6949_Mesa_12.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,7,E14_PRE_60_001_002_00_01_007_6948_Mesa_7.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,10,E14_PRE_60_001_002_00_02_010_6949_Mesa_10.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,2,E14_PRE_60_001_001_00_02_002_6947_Mesa_2.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,17,E14_PRE_60_001_002_00_03_017_6948_Mesa_17.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,26,E14_PRE_60_001_001_00_01_026_6947_Mesa_26.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,017,1,E14_PRE_60_017_000_00_00_001_3085_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,1,E14_PRE_60_001_099_00_75_001_6949_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,007,1,E14_PRE_60_007_099_00_22_001_3090_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,19,E14_PRE_60_001_002_00_02_019_6949_Mesa_19.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,10,E14_PRE_60_001_001_00_02_010_6947_Mesa_10.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,2,E14_PRE_60_001_002_00_01_002_6948_Mesa_2.pdf,0.01,🟢 ESCANEO REAL
AMAZONAS,60,001,9,E14_PRE_60_001_002_00_01_009_6948_Mesa_9.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,6,E14_PRE_60_001_002_00_01_006_6948_Mesa_6.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,040,1,E14_PRE_60_040_000_00_00_001_3085_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,5,E14_PRE_60_001_002_00_03_005_6948_Mesa_5.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,013,2,E14_PRE_60_013_000_00_00_002_3085_Mesa_2.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,21,E14_PRE_60_001_002_00_03_021_6948_Mesa_21.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,11,E14_PRE_60_001_001_00_02_011_6947_Mesa_11.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,11,E14_PRE_60_001_002_00_01_011_6948_Mesa_11.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,007,1,E14_PRE_60_007_099_00_20_001_3090_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,21,E14_PRE_60_001_001_00_01_021_6947_Mesa_21.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,29,E14_PRE_60_001_002_00_02_029_6949_Mesa_29.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,4,E14_PRE_60_001_002_00_03_004_6948_Mesa_4.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,25,E14_PRE_60_001_001_00_01_025_6947_Mesa_25.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,016,1,E14_PRE_60_016_000_00_00_001_3085_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,1,E14_PRE_60_001_001_00_03_001_6948_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,2,E14_PRE_60_001_001_00_03_002_6948_Mesa_2.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,14,E14_PRE_60_001_002_00_02_014_6949_Mesa_14.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,14,E14_PRE_60_001_002_00_03_014_6948_Mesa_14.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,16,E14_PRE_60_001_002_00_03_016_6948_Mesa_16.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,18,E14_PRE_60_001_002_00_03_018_6948_Mesa_18.pdf,0.0,🟢 ESCANEO REAL
