cod_departamento,cod_municipio,zona,puesto,num_mesa,votos_espriella,segundo_digito,alerta
05,076,02,01,000010,79,9,PICO_ANOMALO_2BL
05,076,02,02,000013,103,0,PICO_ANOMALO_2BL
05,079,01,01,000016,101,0,PICO_ANOMALO_2BL
05,079,02,03,000007,99,9,PICO_ANOMALO_2BL
05,079,02,04,000003,80,0,PICO_ANOMALO_2BL
05,084,00,00,000017,104,0,PICO_ANOMALO_2BL
05,084,00,00,000043,59,9,PICO_ANOMALO_2BL
05,091,00,00,000008,70,0,PICO_ANOMALO_2BL
05,091,00,00,000019,40,0,PICO_ANOMALO_2BL
05,091,00,00,000020,40,0,PICO_ANOMALO_2BL
05,091,99,01,000003,30,0,PICO_ANOMALO_2BL
05,094,00,00,000041,40,0,PICO_ANOMALO_2BL
05,094,00,00,000049,49,9,PICO_ANOMALO_2BL
05,095,99,20,000001,79,9,PICO_ANOMALO_2BL
05,095,99,32,000001,70,0,PICO_ANOMALO_2BL
05,097,00,00,000012,104,0,PICO_ANOMALO_2BL
05,097,99,51,000001,201,0,PICO_ANOMALO_2BL
05,118,02,05,000005,49,9,PICO_ANOMALO_2BL
05,118,02,06,000007,50,0,PICO_ANOMALO_2BL
16,001,10,04,000019,79,9,PICO_ANOMALO_2BL
16,001,10,09,000019,50,0,PICO_ANOMALO_2BL
16,001,10,09,000031,39,9,PICO_ANOMALO_2BL
16,001,10,11,000029,69,9,PICO_ANOMALO_2BL
16,001,10,12,000010,190,9,PICO_ANOMALO_2BL
16,001,10,12,000031,104,0,PICO_ANOMALO_2BL
16,001,10,12,000038,89,9,PICO_ANOMALO_2BL
16,001,10,15,000012,69,9,PICO_ANOMALO_2BL
16,001,10,33,000001,190,9,PICO_ANOMALO_2BL
16,001,10,34,000007,201,0,PICO_ANOMALO_2BL
16,001,10,34,000010,209,0,PICO_ANOMALO_2BL
16,001,10,34,000013,193,9,PICO_ANOMALO_2BL
16,001,10,37,000002,204,0,PICO_ANOMALO_2BL
16,001,10,37,000020,107,0,PICO_ANOMALO_2BL
16,001,10,40,000013,194,9,PICO_ANOMALO_2BL
27,061,00,00,000014,197,9,PICO_ANOMALO_2BL
27,074,99,30,000001,40,0,PICO_ANOMALO_2BL
27,074,99,36,000002,20,0,PICO_ANOMALO_2BL
27,075,00,00,000004,102,0,PICO_ANOMALO_2BL
27,079,99,40,000001,106,0,PICO_ANOMALO_2BL
27,082,01,01,000024,107,0,PICO_ANOMALO_2BL
27,082,01,01,000031,79,9,PICO_ANOMALO_2BL
27,082,01,02,000002,206,0,PICO_ANOMALO_2BL
27,082,01,03,000005,191,9,PICO_ANOMALO_2BL
27,082,01,03,000009,191,9,PICO_ANOMALO_2BL
27,082,03,01,000002,190,9,PICO_ANOMALO_2BL
27,082,04,01,000006,209,0,PICO_ANOMALO_2BL
27,082,04,02,000015,105,0,PICO_ANOMALO_2BL
27,082,04,03,000004,205,0,PICO_ANOMALO_2BL
27,082,04,05,000005,197,9,PICO_ANOMALO_2BL
27,082,04,06,000004,206,0,PICO_ANOMALO_2BL
27,082,06,01,000013,107,0,PICO_ANOMALO_2BL
27,082,06,02,000010,200,0,PICO_ANOMALO_2BL
27,082,07,01,000012,102,0,PICO_ANOMALO_2BL
27,082,07,03,000006,198,9,PICO_ANOMALO_2BL
27,082,07,05,000001,209,0,PICO_ANOMALO_2BL
27,082,08,01,000013,207,0,PICO_ANOMALO_2BL
27,082,08,01,000016,200,0,PICO_ANOMALO_2BL
27,082,08,01,000018,202,0,PICO_ANOMALO_2BL
27,082,08,01,000020,89,9,PICO_ANOMALO_2BL
27,082,08,02,000002,208,0,PICO_ANOMALO_2BL
27,082,08,02,000006,207,0,PICO_ANOMALO_2BL
88,380,05,86,000014,101,0,PICO_ANOMALO_2BL
88,410,05,82,000001,102,0,PICO_ANOMALO_2BL
88,465,05,86,000015,100,0,PICO_ANOMALO_2BL
88,590,05,02,000012,50,0,PICO_ANOMALO_2BL
88,590,05,02,000022,29,9,PICO_ANOMALO_2BL
88,590,10,81,000001,40,0,PICO_ANOMALO_2BL
88,590,20,85,000001,105,0,PICO_ANOMALO_2BL
88,655,05,02,000037,100,0,PICO_ANOMALO_2BL
88,670,05,86,000002,190,9,PICO_ANOMALO_2BL
88,675,05,82,000001,10,0,PICO_ANOMALO_2BL
88,755,05,83,000002,20,0,PICO_ANOMALO_2BL
88,760,05,81,000001,90,0,PICO_ANOMALO_2BL
88,805,05,82,000001,40,0,PICO_ANOMALO_2BL
88,815,05,02,000056,10,0,PICO_ANOMALO_2BL
88,815,35,02,000010,29,9,PICO_ANOMALO_2BL
88,815,35,04,000010,30,0,PICO_ANOMALO_2BL
88,815,55,86,000001,195,9,PICO_ANOMALO_2BL
88,815,65,02,000003,50,0,PICO_ANOMALO_2BL
88,815,65,08,000008,20,0,PICO_ANOMALO_2BL
88,815,65,82,000001,291,9,PICO_ANOMALO_2BL
01,001,01,01,000022,40,0,PICO_ANOMALO_2BL
01,001,01,03,000017,69,9,PICO_ANOMALO_2BL
01,001,01,08,000005,30,0,PICO_ANOMALO_2BL
01,001,02,02,000027,39,9,PICO_ANOMALO_2BL
01,001,02,02,000030,40,0,PICO_ANOMALO_2BL
01,001,02,04,000004,107,0,PICO_ANOMALO_2BL
01,001,03,01,000033,108,0,PICO_ANOMALO_2BL
01,001,03,01,000034,105,0,PICO_ANOMALO_2BL
01,001,03,02,000019,103,0,PICO_ANOMALO_2BL
01,001,03,02,000039,90,0,PICO_ANOMALO_2BL
01,001,03,03,000025,49,9,PICO_ANOMALO_2BL
01,001,03,04,000008,90,0,PICO_ANOMALO_2BL
01,001,05,01,000020,194,9,PICO_ANOMALO_2BL
01,001,05,07,000002,203,0,PICO_ANOMALO_2BL
01,001,06,02,000013,193,9,PICO_ANOMALO_2BL
01,001,06,02,000020,191,9,PICO_ANOMALO_2BL
01,001,07,02,000006,198,9,PICO_ANOMALO_2BL
01,001,07,02,000028,104,0,PICO_ANOMALO_2BL
01,001,07,03,000008,198,9,PICO_ANOMALO_2BL
01,001,07,03,000027,102,0,PICO_ANOMALO_2BL
01,001,07,04,000004,196,9,PICO_ANOMALO_2BL
01,001,07,06,000005,107,0,PICO_ANOMALO_2BL
01,001,07,06,000006,106,0,PICO_ANOMALO_2BL
01,001,08,01,000007,191,9,PICO_ANOMALO_2BL
01,001,08,04,000011,194,9,PICO_ANOMALO_2BL
01,001,08,04,000019,102,0,PICO_ANOMALO_2BL
01,001,09,01,000013,203,0,PICO_ANOMALO_2BL
01,001,09,01,000023,99,9,PICO_ANOMALO_2BL
01,001,09,02,000002,193,9,PICO_ANOMALO_2BL
01,001,09,02,000010,208,0,PICO_ANOMALO_2BL
01,001,09,02,000013,193,9,PICO_ANOMALO_2BL
01,001,09,03,000015,60,0,PICO_ANOMALO_2BL
01,001,09,05,000019,101,0,PICO_ANOMALO_2BL
01,001,10,01,000016,205,0,PICO_ANOMALO_2BL
01,001,10,01,000032,104,0,PICO_ANOMALO_2BL
01,001,10,03,000005,203,0,PICO_ANOMALO_2BL
01,001,11,07,000008,102,0,PICO_ANOMALO_2BL
01,001,11,07,000017,105,0,PICO_ANOMALO_2BL
01,001,12,01,000008,208,0,PICO_ANOMALO_2BL
01,001,12,01,000011,193,9,PICO_ANOMALO_2BL
01,001,12,01,000016,203,0,PICO_ANOMALO_2BL
01,001,12,02,000017,204,0,PICO_ANOMALO_2BL
01,001,12,04,000020,200,0,PICO_ANOMALO_2BL
01,001,12,04,000028,105,0,PICO_ANOMALO_2BL
01,001,12,06,000002,193,9,PICO_ANOMALO_2BL
01,001,12,07,000001,208,0,PICO_ANOMALO_2BL
01,001,13,01,000018,108,0,PICO_ANOMALO_2BL
01,001,13,02,000025,59,9,PICO_ANOMALO_2BL
01,001,13,07,000013,102,0,PICO_ANOMALO_2BL
01,001,14,02,000031,80,0,PICO_ANOMALO_2BL
01,001,15,01,000019,104,0,PICO_ANOMALO_2BL
01,001,15,04,000005,79,9,PICO_ANOMALO_2BL
01,001,16,05,000024,19,9,PICO_ANOMALO_2BL
01,001,17,02,000001,194,9,PICO_ANOMALO_2BL
01,001,17,02,000028,103,0,PICO_ANOMALO_2BL
01,001,17,04,000007,197,9,PICO_ANOMALO_2BL
01,001,17,05,000020,101,0,PICO_ANOMALO_2BL
01,001,17,08,000006,100,0,PICO_ANOMALO_2BL
01,001,18,01,000017,106,0,PICO_ANOMALO_2BL
01,001,18,02,000019,204,0,PICO_ANOMALO_2BL
01,001,18,02,000032,104,0,PICO_ANOMALO_2BL
01,001,18,04,000019,79,9,PICO_ANOMALO_2BL
01,001,19,03,000003,207,0,PICO_ANOMALO_2BL
01,001,19,03,000022,207,0,PICO_ANOMALO_2BL
01,001,19,05,000005,209,0,PICO_ANOMALO_2BL
01,001,19,05,000022,109,0,PICO_ANOMALO_2BL
01,001,19,06,000001,195,9,PICO_ANOMALO_2BL
01,001,19,06,000005,193,9,PICO_ANOMALO_2BL
01,001,21,01,000011,190,9,PICO_ANOMALO_2BL
01,001,21,02,000003,207,0,PICO_ANOMALO_2BL
01,001,21,03,000016,194,9,PICO_ANOMALO_2BL
01,001,21,04,000019,199,9,PICO_ANOMALO_2BL
01,001,21,04,000028,203,0,PICO_ANOMALO_2BL
01,001,22,01,000016,202,0,PICO_ANOMALO_2BL
01,001,23,02,000005,192,9,PICO_ANOMALO_2BL
01,001,23,03,000013,192,9,PICO_ANOMALO_2BL
01,001,23,03,000014,190,9,PICO_ANOMALO_2BL
01,001,25,03,000011,70,0,PICO_ANOMALO_2BL
01,001,25,04,000023,103,0,PICO_ANOMALO_2BL
01,001,26,03,000005,197,9,PICO_ANOMALO_2BL
01,001,26,03,000007,193,9,PICO_ANOMALO_2BL
01,001,26,03,000011,198,9,PICO_ANOMALO_2BL
01,001,26,05,000010,60,0,PICO_ANOMALO_2BL
01,001,26,05,000012,80,0,PICO_ANOMALO_2BL
01,001,26,06,000004,206,0,PICO_ANOMALO_2BL
