cod_departamento,cod_municipio,zona,puesto,num_mesa,votos_espriella,digito_inicial,alerta
05,076,02,02,000015,85,8,RELLENO_NACIONAL_BENFORD
05,078,99,40,000001,84,8,RELLENO_NACIONAL_BENFORD
05,079,01,01,000019,86,8,RELLENO_NACIONAL_BENFORD
05,079,01,02,000002,96,9,RELLENO_NACIONAL_BENFORD
05,079,02,02,000007,98,9,RELLENO_NACIONAL_BENFORD
05,079,02,03,000007,99,9,RELLENO_NACIONAL_BENFORD
05,079,02,04,000003,80,8,RELLENO_NACIONAL_BENFORD
05,082,00,00,000010,98,9,RELLENO_NACIONAL_BENFORD
05,082,99,25,000001,93,9,RELLENO_NACIONAL_BENFORD
05,084,00,00,000008,83,8,RELLENO_NACIONAL_BENFORD
05,084,00,00,000048,91,9,RELLENO_NACIONAL_BENFORD
05,094,00,00,000020,96,9,RELLENO_NACIONAL_BENFORD
05,110,00,00,000009,84,8,RELLENO_NACIONAL_BENFORD
05,118,02,02,000007,93,9,RELLENO_NACIONAL_BENFORD
05,118,02,03,000002,86,8,RELLENO_NACIONAL_BENFORD
05,118,02,04,000001,82,8,RELLENO_NACIONAL_BENFORD
16,001,10,01,000013,84,8,RELLENO_NACIONAL_BENFORD
16,001,10,03,000020,96,9,RELLENO_NACIONAL_BENFORD
16,001,10,03,000025,92,9,RELLENO_NACIONAL_BENFORD
16,001,10,03,000026,93,9,RELLENO_NACIONAL_BENFORD
16,001,10,05,000011,85,8,RELLENO_NACIONAL_BENFORD
16,001,10,06,000018,81,8,RELLENO_NACIONAL_BENFORD
16,001,10,06,000019,88,8,RELLENO_NACIONAL_BENFORD
16,001,10,06,000023,91,9,RELLENO_NACIONAL_BENFORD
16,001,10,08,000019,93,9,RELLENO_NACIONAL_BENFORD
16,001,10,12,000038,89,8,RELLENO_NACIONAL_BENFORD
16,001,10,12,000044,98,9,RELLENO_NACIONAL_BENFORD
16,001,10,16,000026,97,9,RELLENO_NACIONAL_BENFORD
16,001,10,18,000016,91,9,RELLENO_NACIONAL_BENFORD
16,001,10,18,000020,88,8,RELLENO_NACIONAL_BENFORD
16,001,10,19,000023,81,8,RELLENO_NACIONAL_BENFORD
16,001,10,23,000015,87,8,RELLENO_NACIONAL_BENFORD
16,001,10,25,000026,83,8,RELLENO_NACIONAL_BENFORD
16,001,10,25,000028,94,9,RELLENO_NACIONAL_BENFORD
16,001,10,26,000031,86,8,RELLENO_NACIONAL_BENFORD
16,001,10,28,000024,83,8,RELLENO_NACIONAL_BENFORD
16,001,10,32,000014,81,8,RELLENO_NACIONAL_BENFORD
16,001,10,34,000025,86,8,RELLENO_NACIONAL_BENFORD
16,001,10,37,000017,95,9,RELLENO_NACIONAL_BENFORD
16,001,10,38,000014,92,9,RELLENO_NACIONAL_BENFORD
16,001,10,38,000015,94,9,RELLENO_NACIONAL_BENFORD
16,001,10,39,000013,85,8,RELLENO_NACIONAL_BENFORD
16,001,10,40,000035,97,9,RELLENO_NACIONAL_BENFORD
27,082,01,01,000028,86,8,RELLENO_NACIONAL_BENFORD
27,082,01,02,000016,91,9,RELLENO_NACIONAL_BENFORD
27,082,03,01,000006,92,9,RELLENO_NACIONAL_BENFORD
27,082,06,05,000012,92,9,RELLENO_NACIONAL_BENFORD
27,082,08,01,000020,89,8,RELLENO_NACIONAL_BENFORD
27,082,08,01,000021,92,9,RELLENO_NACIONAL_BENFORD
88,590,05,02,000008,97,9,RELLENO_NACIONAL_BENFORD
88,590,05,02,000020,96,9,RELLENO_NACIONAL_BENFORD
88,590,20,81,000001,98,9,RELLENO_NACIONAL_BENFORD
88,655,05,02,000024,88,8,RELLENO_NACIONAL_BENFORD
88,665,05,02,000002,8,8,RELLENO_NACIONAL_BENFORD
88,680,05,83,000001,97,9,RELLENO_NACIONAL_BENFORD
88,680,05,85,000001,92,9,RELLENO_NACIONAL_BENFORD
88,760,05,81,000001,90,9,RELLENO_NACIONAL_BENFORD
88,805,05,86,000001,88,8,RELLENO_NACIONAL_BENFORD
88,815,05,02,000053,8,8,RELLENO_NACIONAL_BENFORD
88,815,05,82,000003,86,8,RELLENO_NACIONAL_BENFORD
88,815,35,02,000027,8,8,RELLENO_NACIONAL_BENFORD
01,001,01,02,000034,86,8,RELLENO_NACIONAL_BENFORD
01,001,01,04,000020,95,9,RELLENO_NACIONAL_BENFORD
01,001,02,05,000004,96,9,RELLENO_NACIONAL_BENFORD
01,001,03,01,000028,94,9,RELLENO_NACIONAL_BENFORD
01,001,03,02,000039,90,9,RELLENO_NACIONAL_BENFORD
01,001,03,03,000017,87,8,RELLENO_NACIONAL_BENFORD
01,001,03,04,000008,90,9,RELLENO_NACIONAL_BENFORD
01,001,06,01,000030,96,9,RELLENO_NACIONAL_BENFORD
01,001,06,03,000013,94,9,RELLENO_NACIONAL_BENFORD
01,001,06,03,000019,92,9,RELLENO_NACIONAL_BENFORD
01,001,06,03,000020,93,9,RELLENO_NACIONAL_BENFORD
01,001,06,03,000022,93,9,RELLENO_NACIONAL_BENFORD
01,001,07,02,000027,95,9,RELLENO_NACIONAL_BENFORD
01,001,07,03,000029,93,9,RELLENO_NACIONAL_BENFORD
01,001,07,03,000030,97,9,RELLENO_NACIONAL_BENFORD
01,001,07,04,000034,96,9,RELLENO_NACIONAL_BENFORD
01,001,07,06,000007,84,8,RELLENO_NACIONAL_BENFORD
01,001,08,02,000015,91,9,RELLENO_NACIONAL_BENFORD
01,001,08,03,000029,88,8,RELLENO_NACIONAL_BENFORD
01,001,08,03,000038,82,8,RELLENO_NACIONAL_BENFORD
01,001,08,04,000029,84,8,RELLENO_NACIONAL_BENFORD
01,001,09,01,000023,99,9,RELLENO_NACIONAL_BENFORD
01,001,09,06,000004,84,8,RELLENO_NACIONAL_BENFORD
01,001,10,01,000037,98,9,RELLENO_NACIONAL_BENFORD
01,001,10,02,000046,84,8,RELLENO_NACIONAL_BENFORD
01,001,10,06,000006,83,8,RELLENO_NACIONAL_BENFORD
01,001,11,01,000028,96,9,RELLENO_NACIONAL_BENFORD
01,001,12,02,000026,87,8,RELLENO_NACIONAL_BENFORD
01,001,12,08,000008,87,8,RELLENO_NACIONAL_BENFORD
01,001,13,01,000020,97,9,RELLENO_NACIONAL_BENFORD
01,001,13,03,000013,96,9,RELLENO_NACIONAL_BENFORD
01,001,13,05,000010,85,8,RELLENO_NACIONAL_BENFORD
01,001,13,05,000011,87,8,RELLENO_NACIONAL_BENFORD
01,001,13,07,000010,81,8,RELLENO_NACIONAL_BENFORD
01,001,13,07,000016,94,9,RELLENO_NACIONAL_BENFORD
01,001,14,02,000026,82,8,RELLENO_NACIONAL_BENFORD
01,001,14,02,000031,80,8,RELLENO_NACIONAL_BENFORD
01,001,17,02,000023,97,9,RELLENO_NACIONAL_BENFORD
01,001,17,04,000039,84,8,RELLENO_NACIONAL_BENFORD
01,001,18,01,000014,93,9,RELLENO_NACIONAL_BENFORD
01,001,18,01,000019,97,9,RELLENO_NACIONAL_BENFORD
01,001,18,02,000026,87,8,RELLENO_NACIONAL_BENFORD
01,001,18,05,000004,96,9,RELLENO_NACIONAL_BENFORD
01,001,19,04,000037,81,8,RELLENO_NACIONAL_BENFORD
01,001,20,02,000039,94,9,RELLENO_NACIONAL_BENFORD
01,001,20,03,000015,82,8,RELLENO_NACIONAL_BENFORD
01,001,25,03,000015,87,8,RELLENO_NACIONAL_BENFORD
01,001,25,03,000017,88,8,RELLENO_NACIONAL_BENFORD
01,001,25,06,000003,88,8,RELLENO_NACIONAL_BENFORD
01,001,26,01,000033,96,9,RELLENO_NACIONAL_BENFORD
01,001,26,05,000012,80,8,RELLENO_NACIONAL_BENFORD
01,001,26,07,000011,82,8,RELLENO_NACIONAL_BENFORD
01,001,32,01,000021,96,9,RELLENO_NACIONAL_BENFORD
27,019,01,05,000009,88,8,RELLENO_NACIONAL_BENFORD
27,019,03,01,000004,81,8,RELLENO_NACIONAL_BENFORD
