archivo_pdf,resultado_xref
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/EL ENCANTO/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_010_000_00_00_001_3085_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/EL ENCANTO/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_010_000_00_00_002_3085_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA CHORRERA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_013_000_00_00_004_3085_Mesa_4.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE FRANCISCO DEL ROSARIO VELA/E14_PRE_60_001_001_00_03_003_6948_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA PEDRERA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_016_000_00_00_001_3085_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_011_6947_Mesa_11.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA PEDRERA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_016_000_00_00_003_3085_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA PEDRERA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_016_000_00_00_002_3085_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE FRANCISCO DEL ROSARIO VELA/E14_PRE_60_001_001_00_03_001_6948_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_026_6947_Mesa_26.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_021_6947_Mesa_21.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA CHORRERA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_013_000_00_00_001_3085_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_014_6947_Mesa_14.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_020_6947_Mesa_20.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_019_6947_Mesa_19.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_012_6947_Mesa_12.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_017_6947_Mesa_17.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_023_6947_Mesa_23.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA VICTORIA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_017_000_00_00_001_3085_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_016_6947_Mesa_16.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_013_6947_Mesa_13.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_022_6947_Mesa_22.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_024_6947_Mesa_24.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_018_6947_Mesa_18.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_028_6947_Mesa_28.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_025_6947_Mesa_25.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE FRANCISCO DEL ROSARIO VELA/E14_PRE_60_001_001_00_03_002_6948_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_002_6947_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/EL ENCANTO/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_010_000_00_00_003_3085_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_001_6947_Mesa_1.pdf",CORRUPTO
