archivo_pdf,resultado_xref,departamento,municipio,zona,puesto,mesa
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA CHORRERA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_013_000_00_00_001_3085_Mesa_1.pdf","CORRUPTO_XREF","60","013","00","00","Mesa_1"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_012_6947_Mesa_12.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_12"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_011_6947_Mesa_11.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_11"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA PEDRERA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_016_000_00_00_001_3085_Mesa_1.pdf","CORRUPTO_XREF","60","016","00","00","Mesa_1"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_013_6947_Mesa_13.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_13"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/EL ENCANTO/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_010_000_00_00_002_3085_Mesa_2.pdf","CORRUPTO_XREF","60","010","00","00","Mesa_2"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA CHORRERA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_013_000_00_00_003_3085_Mesa_3.pdf","CORRUPTO_XREF","60","013","00","00","Mesa_3"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_016_6947_Mesa_16.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_16"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE FRANCISCO DEL ROSARIO VELA/E14_PRE_60_001_001_00_03_002_6948_Mesa_2.pdf","CORRUPTO_XREF","60","001","00","03","Mesa_2"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_004_6947_Mesa_4.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_4"
