Archivo_Mesa,Ubicacion_Origen,Cadena_Codigo_QR,Texto_Flujo_Contents,Capas_XObject
E14_PRE_72_001_099_00_05_001_6963_Mesa_1.pdf,ACEITICO,oqstKqlDR/P59rj97esV45Q8QLKGfczqM1EIF9xapTM=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_10_001_6964_Mesa_1.pdf,AMANAVEN,rRxurb1vBFCtjJVsDehPo18hNKmRsI1drBf3hBTFA0w=,SIN_TEXTO_INTERNO,2
E14_PRE_72_008_099_00_92_001_3122_Mesa_1.pdf,BUENAVISTA,REicaubC+tz6SL6wHvPFoX7kLT72kXuy7vNAfUD6SuU=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_098_00_01_001_6963_Mesa_1.pdf,CARCEL,Qde2/+1LQmDkuEUqBJjzMl4bF68XAqocSfbJp6DJD00=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_099_00_10_001_6963_Mesa_1.pdf,CASUARITO,UfLbuCXuxcxByfXFF9m0KTPqE86TqbB4lczlA6MnFqw=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_099_00_10_002_6963_Mesa_2.pdf,CASUARITO,Q1Lm0HBk6kBQv3BMx0RHO/vjD0LCdczvU0D1ZWhyrrg=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_099_00_10_003_6963_Mesa_3.pdf,CASUARITO,luu3CjWb9R4iTmZpwABuIbIYSbQ09fBRuFuRowHRjMM=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_099_00_10_004_6963_Mesa_4.pdf,CASUARITO,G4yxwTWawjHiDP3PWJKS8F8PvzbGqUzX1K2stJ+y9MI=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_099_00_10_005_6963_Mesa_5.pdf,CASUARITO,YJi9p0zx4131n/RXgruwcxsyTLDIhZ7jcx+xe6wUdoA=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_86_001_6965_Mesa_1.pdf,CHAPARRAL,cRSEAyFk+PDw7RRnOa5Kgsx/Vrx91EB2jU0SS45EX9w=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_20_001_6964_Mesa_1.pdf,CHUPAVE,JRfi/QXuQDDlPPPvp0x9Y38X+70pMAmDCyq12NU5ZxE=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_96_001_6965_Mesa_1.pdf,COM PALO GDE RESG STA TERESITA DEL TUP,+APRGf9/VyAXoNJWDa0sQqCzEBZs2QBZ447u/xt7HdI=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_96_002_6965_Mesa_2.pdf,COM PALO GDE RESG STA TERESITA DEL TUP,pMcsvoPl/DlOulm2FMvwUwTGSUdjC0mtK7QWgjaNfmQ=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_96_003_6965_Mesa_3.pdf,COM PALO GDE RESG STA TERESITA DEL TUP,0VPGE/QUVC6QHAdTxOkfPufPP36ySngk8RM0RwrQxVw=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_93_001_6965_Mesa_1.pdf,COM PROG INTEG RESG BAJO RIO VICHADA DOS,Yt469a/8Y2EWrT8m2vPKTU6xGAo77/8BXVFCcNVcxic=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_93_002_6965_Mesa_2.pdf,COM PROG INTEG RESG BAJO RIO VICHADA DOS,tNrwtBtYbMnDaP2dMKHpHPTZQedC3DwTgGk08rVtP/Y=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_93_003_6965_Mesa_3.pdf,COM PROG INTEG RESG BAJO RIO VICHADA DOS,s+oWvLgkiiBvOXYJAgFvdBmv9dhrpMOuCQP2LlNlaZo=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_13_001_6964_Mesa_1.pdf,COM PUEBLO ESCONDIDO RESG BERROCAL AJOTA,JPUc8h836akBpCEWHWktXMFLevaXLrDxoNN/gfSQ9io=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_14_001_6964_Mesa_1.pdf,COM. BARRANCO COLORADO RESG. ATANA P.,mY9kR4I4PMj+eN+lfw1MH7BwlFoBFXWrBVqQJafjQRM=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_14_002_6964_Mesa_2.pdf,COM. BARRANCO COLORADO RESG. ATANA P.,WeabNcQ4Ub0L83JUAot8CSFMCA+6EeUJdnbFutjL2NE=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_89_001_6965_Mesa_1.pdf,COM. BRISAS RESG. AIWAKUNA TSEPAJIBO,uKlbqGY0MvHn5q9pUebmLtFMWZKqzEbfje/PUt0GG38=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_89_002_6965_Mesa_2.pdf,COM. BRISAS RESG. AIWAKUNA TSEPAJIBO,gApVm46aQDElu6oifIsZkfCjX3y+pPy1qh/KoMg9ZQs=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_89_003_6965_Mesa_3.pdf,COM. BRISAS RESG. AIWAKUNA TSEPAJIBO,oMrtpoZ1HbatfUqU6YTFGzHy8VTJghVR7A1EeQEggXM=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_89_004_6965_Mesa_4.pdf,COM. BRISAS RESG. AIWAKUNA TSEPAJIBO,wPN+B/Y6Zyyv2VdwfhXbKtssfPIvytf6DAfYgI3Qd/I=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_15_001_6964_Mesa_1.pdf,COM. B_QUILLA RESG. CALI B_QUILLA,uFIEtmun3xWd4BHkE7KgX2vZKRU25qv175LcuhohaqA=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_16_001_6964_Mesa_1.pdf,COM. CAMUNIANAE RESG. BAJO RIO VICHADA,WV/wX8x60ahqUyYgL/qzVSjmlGm/0S26vsg35zUhUDM=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_16_002_6964_Mesa_2.pdf,COM. CAMUNIANAE RESG. BAJO RIO VICHADA,dwCURV7gkejki5bZMRHNYjTkyz+I4DP8JyZ5weA9lA4=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_97_001_6965_Mesa_1.pdf,COM. CHAPARRAL RESG. MUCO GUARROJO,Mw8nEd5MwvjYpWWI6eT9w/CC9NZCoT+DBb7WwMKkPyw=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_97_002_6965_Mesa_2.pdf,COM. CHAPARRAL RESG. MUCO GUARROJO,0GMwqKBqvQ94eciJPIJETWZouIdm8WVKlueVbw1aMcA=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_90_001_6965_Mesa_1.pdf,COM. LA FLORIDA RESG. SARACURE CADA,Q34ZU/PN6m2rAVJA2zDqRNZ3YkVRAnjjWHFXGJu4NPA=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_90_002_6965_Mesa_2.pdf,COM. LA FLORIDA RESG. SARACURE CADA,iNaZH4jrIOLFrKR4y8b8wsZ4TC0b722rlEATLYcgmZg=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_90_003_6965_Mesa_3.pdf,COM. LA FLORIDA RESG. SARACURE CADA,k/Wfx4x6LF6TmS/IBG3j8Nx/252rAnf9FldTQQVRbDs=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_18_001_6964_Mesa_1.pdf,COM. LAG. NEGRA RESG. LAG. NEGRA Y CACAO,BZ1nLK/OxFXpSsoZiqizasv9+BsaeOcWQS4p4BXVrtQ=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_17_001_6964_Mesa_1.pdf,COM. LLANO LINDO RESG. SAN LUIS DEL TOMO,4s70kq74dCt9JpvCYMiQrXZaJ2zQfiSh/+CavhmIxDI=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_98_001_6965_Mesa_1.pdf,COM. MAMIYARE RESG. GUACAMAYAS MAMIYARE,Ula6i9Orl4jMhK2mLBPBR7S3QBT8+bHIICbxCFWI0r4=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_91_001_6965_Mesa_1.pdf,COM. RAYA RESG. BAJO RIO VICHADA 1,YQQ4WHT9vHrVhzoT2l5nq6s5SSWzZiRBhVmt/BQ7b1U=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_91_002_6965_Mesa_2.pdf,COM. RAYA RESG. BAJO RIO VICHADA 1,Lljk5b44GRrsprFy4+o6OezuztaZwMEnBdmIQkz/P+8=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_91_003_6965_Mesa_3.pdf,COM. RAYA RESG. BAJO RIO VICHADA 1,TAeTwweJA9t0jIvZpFGBk+gGkMCKIxneGbi+I37tc5I=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_91_004_6965_Mesa_4.pdf,COM. RAYA RESG. BAJO RIO VICHADA 1,gHmzXq45HXCPB04UgCnHWvUBWtQYmGs1kudVCPEEO8s=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_11_001_6964_Mesa_1.pdf,"COM. SAN JUAN DEL MORRO RESG, UNUMA",XhnDqQr/6yR1It4RlGmFKSGvTj/hySTHekv4sm18bQY=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_11_002_6964_Mesa_2.pdf,"COM. SAN JUAN DEL MORRO RESG, UNUMA",tH7GTe03q2sF+ot4XGxhhHP9/05fhpQiWkcgR1+YfAw=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_94_001_6965_Mesa_1.pdf,COM. SUCUARA RESG. BAJO RIO VICHADA 2,EIiI36wqcnfFw9YWKRS797++eNcU9DQ9PBzcPAnollE=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_94_002_6965_Mesa_2.pdf,COM. SUCUARA RESG. BAJO RIO VICHADA 2,QvNZVZ2xpQ9sue2snBqJijX9w1Am2FDhqA/1gSCiSvc=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_94_003_6965_Mesa_3.pdf,COM. SUCUARA RESG. BAJO RIO VICHADA 2,5Ax9DsGwaetH56Yfg4d5eedfwdwdHFVGSU+an9Spj8E=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_12_001_6964_Mesa_1.pdf,COMUNIDAD MACOCOBA RESGUARDO CAWASI,sCGxmtBPmx1YjsqLkz9FtFB4UDE7NAOdyWmL7a0lEz8=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_12_002_6964_Mesa_2.pdf,COMUNIDAD MACOCOBA RESGUARDO CAWASI,jcKWZxMmw+QNv21cvAxtZKILJXbA5AZsIVtpjSGjORY=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_12_003_6964_Mesa_3.pdf,COMUNIDAD MACOCOBA RESGUARDO CAWASI,Rzau8EkMgAqV+4FsnPv+OtMEIeLYkIoaDgOyx7v0kzg=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_12_004_6964_Mesa_4.pdf,COMUNIDAD MACOCOBA RESGUARDO CAWASI,dY99IYrRs+lHkdVaHIjb7uP+NLd8wEfCgky24WLODCc=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_40_001_6964_Mesa_1.pdf,EL CEJAL,N7uk4Ni/ic0hn25gmj1qDaiLkAtkFa9aOn0h0mEHrqs=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_85_001_6965_Mesa_1.pdf,EL TUPARRO,nQx+AuqRt4NDrX7ytBXvP7lrqiyhjTuBkiHDkzT4apU=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_42_001_6964_Mesa_1.pdf,EL VIENTO,P2m6eKws1U0Ag2Grpt5ISLAprSRKfRUjiUsjAc7G0wQ=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_42_002_6964_Mesa_2.pdf,EL VIENTO,WNKix9Oa8/iRRhFKwF0B5w8cw/PluG8W+49HhoyIzY0=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_42_003_6964_Mesa_3.pdf,EL VIENTO,wow2/BEBO4RRcQ2qg0j3wwaVaKFyoYAgbUs809a31ks=,SIN_TEXTO_INTERNO,2
E14_PRE_72_002_099_00_12_001_3120_Mesa_1.pdf,FLOR AMARILLO,aOTcv0qe4PnDg6NAQabzZO2ECViNBJJTSBJ4GynpycA=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_099_00_40_001_6963_Mesa_1.pdf,GARCITAS,3FtSMjlfQN+MVCvkH4NbWz24tE7nplinrHgrSTi1+1k=,SIN_TEXTO_INTERNO,2
E14_PRE_72_002_099_00_10_001_3120_Mesa_1.pdf,GUACACIAS,kql2GB+R7jDVmUF2CJh0FIQ4o5DaFSQasmN9hMNzzm4=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_47_001_6965_Mesa_1.pdf,GUACO,a/mSwilEKlDm76GZHVUhsLNhAG5odBAtzRrhwbwBnsI=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_44_001_6964_Mesa_1.pdf,GUANAPE,HJkvQfOVFDuPMqYLOM+uObxv1K+YoxoC1yL6rC9oB+A=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_44_002_6964_Mesa_2.pdf,GUANAPE,fJKCaS3h2KiHiPlFbhrFRwaUFlZ7Bp6VtB9BwHF2yc0=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_099_00_45_001_6963_Mesa_1.pdf,GUARIPA,vgHtuiUCwZL5ieAn3e7O4UI7fmalwPjcyW0ZwS1hOsw=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_45_001_6964_Mesa_1.pdf,GUERIMA,GnWjmzxYCM+NA86xnnX+FxVb8gYowZO8c9S9HYAOC7E=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_45_002_6964_Mesa_2.pdf,GUERIMA,jyADNppw6jfqqeJrp+p97/Hj2XCsD0BIbVGt4WoqaNA=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_000_00_02_001_6963_Mesa_1.pdf,IE MARIA INMACULADA,+6DZUua7bzTUhbGteyKpLMk94W9SS4K/5wrpgP3jCTo=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_000_00_02_002_6963_Mesa_2.pdf,IE MARIA INMACULADA,EHqj5Tvb+9DtbMhqa8Xc5YtLnQdZGgdJIGQwy9xg3JI=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_000_00_02_003_6963_Mesa_3.pdf,IE MARIA INMACULADA,/cPHcrOtVpNHuXrf1O/+Ab9c9TF4UEaQH860GBIutLU=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_000_00_02_004_6963_Mesa_4.pdf,IE MARIA INMACULADA,LqoYt371kYo4LEMUIPLIyAefikiuOPBoLkP48Fv7dDA=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_000_00_02_005_6963_Mesa_5.pdf,IE MARIA INMACULADA,cgGjCbMCYbtTiQTYlWDPzJzmHX12OsxeNPqplD1ecPA=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_000_00_02_006_6963_Mesa_6.pdf,IE MARIA INMACULADA,LdRCfkMSzuQKwXxJ6UG287vpK3kGY7MbgK997quxDds=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_000_00_02_007_6963_Mesa_7.pdf,IE MARIA INMACULADA,yrVM6tlw7dAX21TLN6CSvGftbBrSFYGSsR2mlS8ClMY=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_000_00_02_008_6963_Mesa_8.pdf,IE MARIA INMACULADA,SpRsexvk7A/5lH5cIFi9J9QHkLg1G/x023lnQ4yjfYg=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_000_00_02_009_6963_Mesa_9.pdf,IE MARIA INMACULADA,/nWX+en2p0eGTE+fVQIyYDepQ5wHyl+lwskJxMeBUOw=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_87_001_6965_Mesa_1.pdf,LA CATORCE,F7g4jIjzZa24gDJcMdKQZJrqfhssSlBIDgPnOpiGdvs=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_87_002_6965_Mesa_2.pdf,LA CATORCE,SgEBaZgmFjZIr2/TpzLLtCU2O5PxuYamUJBuhfEIIak=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_099_00_51_001_6963_Mesa_1.pdf,LA ESMERALDA,sATeUq4wXSYP3Erv75EVudrSnnEdsMNQTkmYLGrIlLQ=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_099_00_30_001_6963_Mesa_1.pdf,LA VENTUROSA,w5KC42KnI6Vs6uUXa+QJAKPCdXTQHUxgsbQpM5KR54k=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_52_001_6965_Mesa_1.pdf,MANAJUARE,MrjRC031TZPwUTahHTR8yW/9/yXGlp8elAIIt0cmoa4=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_50_001_6965_Mesa_1.pdf,MATAVEN,Kj+JfdAS0AlCEQD0xi4xSk46OcIJDcJe3ZA7o46Q6Sg=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_50_002_6965_Mesa_2.pdf,MATAVEN,1U+XaQ6PUVzNk7WR4eoiSNvlC9UMlS6MDtZ5xFvQoXU=,SIN_TEXTO_INTERNO,2
E14_PRE_72_008_099_00_50_001_3122_Mesa_1.pdf,MATIYURE,kGBINzcVJZOpht4B665+3jXEmxQ0mULogQ2Avd/58xg=,SIN_TEXTO_INTERNO,2
E14_PRE_72_008_099_00_70_001_3122_Mesa_1.pdf,NUEVA ANTIOQUIA,p2Wbg0kzLD2EqBq7jhn/SGShs04yMJiXQwZgaT1QMRA=,SIN_TEXTO_INTERNO,2
E14_PRE_72_008_099_00_70_002_3122_Mesa_2.pdf,NUEVA ANTIOQUIA,VTTf9s1nkUHnzNcuJg/NuFOFFL5bCyoyCtlPXP4Muow=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_55_001_6965_Mesa_1.pdf,PALMARITO,f52sfya7Ki3cfHuLtdeZ/eWK1IUXqZBpTrKl+LEL05U=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_55_002_6965_Mesa_2.pdf,PALMARITO,PPopHg8tYHfx2a57G1S/EujlvOlIDPb1ameUhZ5ujIA=,SIN_TEXTO_INTERNO,2
E14_PRE_72_001_099_00_50_001_6963_Mesa_1.pdf,PUERTO MURILLO,IrF7+zKPaYA1bAYck4RF+BBSScXHBsA1UxCLqiG30Pw=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_70_001_6965_Mesa_1.pdf,PUERTO NARIÑO,jCHWyxOqJdoAUGYnx27qv4X94xI3iyvi9w3/E5u31oQ=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_70_002_6965_Mesa_2.pdf,PUERTO NARIÑO,vyebQmAX/bKQq4G9yZEJOeCgr0V5etE52OjM76aJ030=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_88_001_6965_Mesa_1.pdf,PUERTO ORIENTE,RnZePTA9Zf9mjx7EqksO4Ai7Hh52IUOg+XhmbQJZF4s=,SIN_TEXTO_INTERNO,2
E14_PRE_72_006_099_00_57_001_6965_Mesa_1.pdf,PUERTO PRINCIPE,dxGMB1PDMGKfNCVSRzTz0WRzDxjPID2i2BriLraTW1w=,SIN_TEXTO_INTERNO,2
